Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,Cover,Himansu Kumar Sethi,20-Feb-2026 06:51 PM,,BOQ Comparative Chart,1.0,3358613.0,JAGMOHAN PAL,INR,"2,267,878",CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,2026_CERWI_124588_5,Road Online NCB-08 of 2025-26,S/R to PWD Road to Sibanarayanpur Goda Road for the year 2025-26,Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,20-Feb-2026 07:07 PM,finsummary_575892.pdf (455.83 KB),Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,20-Feb-2026 06:55 PM,techsummary_575892.pdf (2207.24 KB),20-Feb-2026,"INR 2,267,878",30.0,Himansu Kumar Sethi,20-Feb-2026 07:10 PM,751.pdf (2121.00 KB),1,3360547,ALINA MALLICK,19-Jan-2026 10:08 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,PAPER COST EMD GSTIN PAN RC AND OTHER DOCUMENTS AS PER DTCN,CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,Road Online NCB-08 of 2025-26,2026_CERWI_124588_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,S/R to PWD Road to Sibanarayanpur Goda Road for the year 2025-26,Repair of Road Work,Please refer Tender documents. ,NA ,"26,69,348",Civil Works - Roads,NA ,Tender,90.0,30.0,BANSPAL,758085.0,NA ,NA ,NA ,SE RW DIVISION AT GAMBHARIA,No ,No,"26,694",Yes,fixed,,Nil,Nil,15-Jan-2026 05:00 PM,22-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,21-Jan-2026 05:00 PM,15-Jan-2026 05:00 PM ,20-Jan-2026 05:00 PM ,15-Jan-2026 05:00 PM,21-Jan-2026 05:00 PM,SE RW DIVISION BANSPAL,"OFFICE OF THE SUPERINTENDING ENGINEER RW DIVISION, BANSPAL",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3363221,ANIL KUMAR NAYAK,21-Jan-2026 04:40 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3362878,DEBENDRA MAJHI,21-Jan-2026 02:13 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3358613,JAGMOHAN PAL,21-Jan-2026 04:19 PM,Accepted-AOC,Work has been awarded to Jagmohan Pal,20-Feb-2026 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3362039,JITENDRA DAS,20-Jan-2026 09:04 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3361427,LALATENDU SAHU,20-Jan-2026 03:30 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3361220,M/S ACHYUTANANDA DHAL,20-Jan-2026 01:49 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3360625,PADMINI DAS,20-Jan-2026 10:38 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3359371,SATYABRATA SETHY,19-Jan-2026 12:29 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3362382,SATYA SANATAN BEHERA,21-Jan-2026 12:31 PM,Rejected-Finance,Not Selected in the Lottery,20-Feb-2026 07:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
