Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
21-Feb-2026,"INR 148,369",30.0,RANJAN KUMAR MARTHA,24-Feb-2026 01:30 PM,Akhuja657.pdf (506.00 KB),1.0,3326964.0,AKHUJA NAIK,INR,"148,369",Municipal Bodies||Redhakhol NAC,2025_ORULB_123226_27,RDL NAC-4/2025-26,Construction of drain with slab at PWD road side towards Taruna Pradhan House in ward No 05,1,3326964,AKHUJA NAIK,24-Dec-2025 09:04 PM,Accepted-AOC,L1,24-Feb-2026 01:30 PM,Finance,6 bidder participated and admitted for Technical Evaluation,RANJAN KUMAR MARTHA,31-Jan-2026 01:04 PM,,BOQ Comparative Chart,Sibaram Sahoo,Internal,"Chairperson, EO, ME, JE",RANJAN KUMAR MARTHA,18-Feb-2026 04:25 PM,finsummary_571918.pdf (1647.40 KB),Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,06-Feb-2026 01:21 PM,techsummary_571918.pdf (446.60 KB),AOC,600.0,0.0,Nil,Nil,No,17-Dec-2025 10:00 AM,29-Dec-2025 04:30 PM,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,NA ,NA ,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,Construction of drain with slab at PWD road side towards Taruna Pradhan House in ward No 05,Construction of drain with slab at PWD road side towards Taruna Pradhan House in ward No 05,Please refer Tender documents. ,NA ,"1,48,518",Civil Works - Roads,NA ,Tender,90.0,30.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,Municipal Bodies||Redhakhol NAC,RDL NAC-4/2025-26,2025_ORULB_123226_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,485",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",AOC
,,,,,,,,,,,,,,,2,3333676,Birendra Kumar Sahoo,28-Dec-2025 12:58 PM,Rejected-Finance,As per Lottery,18-Feb-2026 04:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3334869,NATABARA MEHER,28-Dec-2025 09:13 PM,Rejected-Finance,As per Lottery,18-Feb-2026 04:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3332725,ROJALIN DEHURY,27-Dec-2025 08:55 PM,Rejected-Finance,As per Lottery,18-Feb-2026 04:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3329971,SARATA KUMAR SAHOO,26-Dec-2025 02:45 PM,Rejected-Finance,As per Lottery,18-Feb-2026 04:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3334666,TIKUN PRADHAN,28-Dec-2025 07:54 PM,Rejected-Finance,As per Lottery,18-Feb-2026 04:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
