S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3294129.0,ASHIS KUMAR ROUT,INR,"7,138,307.99",SE,Internal,,Ashok Kumar Sethi,21-Feb-2026 10:35 AM,finsummary_566558.pdf (152.73 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_121828_1,Bid Identification No.- 13/ MIDA/2025-26,Construction Of Black Toping Road On Canal Service Road In Garh MIP In Anandapur Block Under CAPEX Grant For The Year 2025-26,Technical,summary,Ashok Kumar Sethi,23-Dec-2025 05:54 PM,technical_566558.pdf,Finance,summary,Ashok Kumar Sethi,21-Feb-2026 10:31 AM,finance_566558.pdf,BOQ Comparative Chart,SE,Internal,,Ashok Kumar Sethi,23-Dec-2025 05:57 PM,23-Dec-2025 06:00 PM,techsummary_566558.pdf (593.54 KB),1,3292147,ABHILIPSA PRIYADARSINI JENA,09-Dec-2025 06:05 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,21-Feb-2026,"INR 7,138,307.99",180.0,Ashok Kumar Sethi,21-Feb-2026 10:39 AM,GarhCapexroad.pdf (153.00 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 13/ MIDA/2025-26,2025_CEMIB_121828_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",1.0,Fee/PreQual/Technical,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN","84,000",Yes,fixed,,Nil,Nil,Construction Of Black Toping Road On Canal Service Road In Garh MIP In Anandapur Block Under CAPEX Grant For The Year 2025-26,Construction Of Black Toping Road On Canal Service Road In Garh MIP In Anandapur Block Under CAPEX Grant For The Year 2025-26,Please refer Tender documents. ,NA ,"83,97,000",Civil Works - Others,NA ,Rate Contract,90.0,180.0,ANANDAPUR,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,24-Nov-2025 10:00 AM,12-Dec-2025 10:00 AM,24-Nov-2025 10:05 AM,11-Dec-2025 05:00 PM,NA ,NA ,24-Nov-2025 10:10 AM,11-Dec-2025 05:00 PM,23-Dec-2025 06:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3290048,AJIT KUMAR MISHRA,08-Dec-2025 05:00 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3280405,Akshaya Kumar swain,04-Dec-2025 11:36 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3294129,ASHIS KUMAR ROUT,10-Dec-2025 08:39 PM,Accepted-AOC,aoc,21-Feb-2026 10:39 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3295160,BHABEN KUMAR JENA,11-Dec-2025 01:29 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3276641,BHAGIRATHI SAMAL,03-Dec-2025 09:27 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3293785,BIJAYANANDA SAHOO,10-Dec-2025 06:14 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3295761,CHANDAN KUMAR BEHERA,11-Dec-2025 04:03 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3294535,CHINMAYA RANJAN SAHANI,11-Dec-2025 10:04 AM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3294182,CHINTAMANI SAHOO,10-Dec-2025 09:16 PM,Rejected-Finance,Lottery,21-Feb-2026 10:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
