Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_48,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",Const. of Paver Road from Sk Mumtaz house towards Usman house house and Murtuza Ali Khan house to Mumtaz Ali house in ward No.23,Const. of Paver Road from Sk Mumtaz house towards Usman house house and Murtuza Ali Khan house to Mumtaz Ali house in ward No.23,Please refer Tender documents. ,NA ,"6,49,284",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,"6,500",Yes,fixed,,Nil,Nil,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality","4,000",0.0,Nil,Nil,No,1,ICICI BANK,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,AOC,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,24-Feb-2026 06:46 PM,finsummary_536351.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,24-Feb-2026 06:44 PM,techsummary_536351.pdf (240.28 KB),24-Feb-2026,"INR 649,284",90.0,Sourav Chakrabarty,24-Feb-2026 06:49 PM,48.pdf (565.00 KB),work order issued,1,2896642,Padan Majhi,27-Apr-2025 02:57 PM,Rejected-AOC,Quoted second lowest,24-Feb-2026 06:49 PM,1.0,2892631.0,RANJEET BEHERA,INR,"649,284",Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_48,BM-BDK-01-2025-26,Const. of Paver Road from Sk Mumtaz house towards Usman house house and Murtuza Ali Khan house to Mumtaz Ali house in ward No.23,Finance,ok,TAPASA KUMAR SAMAL,01-May-2025 10:33 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2892631,RANJEET BEHERA,26-Apr-2025 10:17 AM,Accepted-AOC,Quoted first lowest,24-Feb-2026 06:49 PM,,,,,,,,,,,,,,,,AOC
