Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Amiya Kumar Samal,30-Dec-2025 11:43 AM,,BOQ Comparative Chart,1.0,3335007.0,SRI NARAYAN SAHOO,INR,"1,253,464","CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||EE,Rengali Left Bank Canal Divn., Kamakhyanagar",2025_CEBBS_123224_3,e-Procurement Notice No.RLBCD-P1-08/2025-26,RLBCD-23/ 2025-26 Construction of trough wall in between RD 830M to 1260M of Kanheipal Minor-I,SE RLBC Division Kamakhayanagar,Internal,"Estimator and DAO, RLBC Division Kamakhayanagar",Amiya Kumar Samal,17-Feb-2026 01:53 PM,finsummary_571720.pdf (562.05 KB),SE RLBC Division Kamakhayanagar,Internal,Estimator and DAO RLBC Division Kamakhayanagar,Amiya Kumar Samal,20-Jan-2026 02:16 PM,techsummary_571720.pdf (607.48 KB),17-Feb-2026,"INR 1,253,464",30.0,Amiya Kumar Samal,17-Feb-2026 01:55 PM,WORLBCD23.pdf (562.00 KB),Contract Awarded,1,3327123,ASHOK KUMAR SETHY,25-Dec-2025 11:31 AM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,"CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||EE,Rengali Left Bank Canal Divn., Kamakhyanagar",e-Procurement Notice No.RLBCD-P1-08/2025-26,2025_CEBBS_123224_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,Superintending Engineer,"O/o S.E., RLBC Division, Kamakhyanagar",1.0,ICICI BANK,17-Dec-2025 10:00 AM,30-Dec-2025 11:00 AM,17-Dec-2025 10:00 AM,29-Dec-2025 05:00 PM,17-Dec-2025 10:00 AM ,20-Dec-2025 05:00 PM ,17-Dec-2025 10:00 AM,29-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",RLBCD-23/ 2025-26 Construction of trough wall in between RD 830M to 1260M of Kanheipal Minor-I,Construction of trough wall,Please refer Tender documents. ,NA ,"14,74,490",Civil Works - Canal,NA ,Tender,90.0,30.0,Kamakhyanagar,759018.0,NA ,NA ,NA ,"O/o S.E., RLBC Division, Kamakhyanagar",No ,No,"14,740",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3336748,Babuli Patra,29-Dec-2025 01:49 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3323892,CHHEDILAL KATARUKA,23-Dec-2025 03:59 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3335121,CHINMAYEE SAHOO PROP OF SHIVANSH CONSTRUCTION,28-Dec-2025 11:23 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3323790,Dharmendra Das,22-Dec-2025 09:27 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3330164,DIPTI RANJAN MISHRA,26-Dec-2025 05:35 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3332633,FAKIRA MOHAN MOHAPATRA,27-Dec-2025 08:52 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3333463,GAGAN BIHARI PAL,28-Dec-2025 12:06 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3318533,Gobardhan Nayak,19-Dec-2025 11:09 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3331301,Jagadananda Rout,27-Dec-2025 12:59 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3335480,Manoranjan Behera,29-Dec-2025 10:22 AM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3312364,MISIRA KUMAR DHAR,17-Dec-2025 07:57 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
