Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,ok,SUDHANSU MOHAN,22-Dec-2025 12:08 PM,finance_570905.pdf,BOQ Comparative Chart,1.0,3316615.0,Kailash Chandra Muduli,INR,"1,389,063",Municipal Bodies||Basudevpur Municipality,2025_ORULB_122920_1,BSP_2025-26_12,Repair and restoration of paver road from harikar house towards jit pada ward no.1,Nibedita Behera,Internal,"EO,ME,JE,Acct",SUDHANSU MOHAN,18-Feb-2026 04:03 PM,finsummary_570905.pdf (11394.88 KB),Nibedita Behera,Internal,"EO,ME,JE,Acct",SUDHANSU MOHAN,18-Feb-2026 04:00 PM,techsummary_570905.pdf (11394.88 KB),18-Feb-2026,"INR 1,389,063",45.0,SUDHANSU MOHAN,18-Feb-2026 04:33 PM,1emd.pdf (265.00 KB),ok,1,3313993,ANJALI PATRA,20-Dec-2025 03:38 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,1.0,ICICI BANK,Repair and restoration of paver road from harikar house towards jit pada ward no.1,Repair and restoration of paver road from harikar house towards jit pada ward no.1,Please refer Tender documents. ,NA ,"13,84,746",Civil Works - Roads,NA ,Tender,90.0,45.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,EO,Basudevpur Municipality,1.0,NIT Document,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"13,847",Yes,fixed,,Nil,Nil,14-Dec-2025 10:00 AM,22-Dec-2025 11:00 AM,14-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,NA ,NA ,14-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Basudevpur Municipality,BSP_2025-26_12,2025_ORULB_122920_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3311818,Bijay Kumar Nayak,19-Dec-2025 12:27 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3318195,Bilas Barik,19-Dec-2025 08:11 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3317833,Duryodhan Mohakud,19-Dec-2025 05:06 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3313723,JAGABANDHU MALLICK,19-Dec-2025 12:56 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3316615,Kailash Chandra Muduli,19-Dec-2025 01:44 PM,Accepted-AOC,winner of lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3317147,Rakesh Ranjan Nayak,19-Dec-2025 02:25 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3318112,RANJITA DASH,19-Dec-2025 07:05 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3314728,RASMITA BEHERA,18-Dec-2025 04:52 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3317596,Sarojini Rout,19-Dec-2025 05:05 PM,Rejected-AOC,Lottery,18-Feb-2026 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
