EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"74,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,02-Dec-2025 10:00 AM,15-Dec-2025 11:00 AM,02-Dec-2025 10:00 AM,12-Dec-2025 05:30 PM,02-Dec-2025 10:00 AM ,06-Dec-2025 05:30 PM ,02-Dec-2025 10:00 AM,12-Dec-2025 05:30 PM,17-Dec-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"Executive Engineer, Drainage Division, Berhampur","O/o the Executive Engineer, Drainage Division, BAM",1.0,Fee/PreQual/Technical,.pdf,"Tender cost,EMD,GST,PAN,RC, Affidavit undertaking and other documents as per DTCN","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Berhampur",EE-DD-BER NO-06/2025-26,2025_CEDC_122407_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to Jemmakhama Nalla near village Kalamba in Polosara Block in DIP,CIVIL WORKS,Please refer Tender documents. ,NA ,"73,49,238",Civil Works - Others,NA ,Tender,90.0,180.0,POLOSARA,760004.0,NA ,NA ,NA ,"O/o the Executive Engineer, Drainage Division, BAM",No ,No,AOC,EXECUTIVE ENGINEER,Internal,,Bishnu Prasad Panigrahi,16-Dec-2025 07:25 PM,17-Dec-2025 11:00 AM,techsummary_568737.pdf (1273.77 KB),"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Berhampur",2025_CEDC_122407_1,EE-DD-BER NO-06/2025-26,Improvement to Jemmakhama Nalla near village Kalamba in Polosara Block in DIP,1.0,3293196.0,B.Kamal Kiran Rao,INR,"6,247,586",Finance,SUMMERY,Benugopal Behera,18-Dec-2025 06:31 PM,finance_568737.pdf,BOQ Comparative Chart,Technical,TECHNICALSUMMERY6,Bishnu Prasad Panigrahi,16-Dec-2025 07:18 PM,,1,3295967,Akash Dalai,12-Dec-2025 03:34 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,04-Feb-2026,"INR 6,247,586",180.0,Bishnu Prasad Panigrahi,04-Feb-2026 07:14 PM,WO6.pdf (713.00 KB),EXECUTIVE ENGINEER,Internal,,Bishnu Prasad Panigrahi,04-Feb-2026 07:10 PM,finsummary_568737.pdf (96.73 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Tender Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3297445,AMARESWARA SATAPATHY,12-Dec-2025 01:19 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3295090,ANIL KUMAR JENA,11-Dec-2025 01:20 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3297438,Ashok Kumar Behera,12-Dec-2025 01:19 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3294962,BANISREE SETHY,11-Dec-2025 12:44 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3295618,BIBHU PRASAD NAHAK,12-Dec-2025 10:24 AM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3296910,BINAYEE KUMARI PATRA,12-Dec-2025 11:15 AM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3293196,B.Kamal Kiran Rao,10-Dec-2025 05:59 PM,Accepted-AOC,WINNER IN THE LOTTERY,04-Feb-2026 07:14 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3297938,CHANDAN KUMAR MOHINI,12-Dec-2025 03:23 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3296062,CHINMAYA KUMAR DASH,11-Dec-2025 06:54 PM,Rejected-Finance,UNSUCCESSFUL IN THE LOTTERY,04-Feb-2026 07:10 PM,,,,,,,,,,,,,AOC
