S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Corrigendum for Extension of tender submission date,Date,,"17,78,000",Yes,fixed,,Nil,Nil,Renovation of Canal System of Hirakud Dam Project of Lachida Canal Section,Renovation of Canal System of Hirakud Dam Project of Lachida Canal Section Burla Irrigation Division Burla,As per DTCN ,NA ,"17,77,92,828",Civil Works - Canal,NA ,Tender,90.0,730.0,At Attabira Block Attabira Dist Bargarh,768027.0,NA ,NA ,NA ,Office of the CE AND BM MB BURLA,No ,No,19-Aug-2025 11:30 AM,13-Sep-2025 11:30 AM,19-Aug-2025 11:30 AM,12-Sep-2025 05:00 PM,19-Aug-2025 11:30 AM ,12-Sep-2025 05:00 PM ,19-Aug-2025 11:30 AM,12-Sep-2025 05:00 PM,29-Oct-2025 12:00 PM,"CE-BM,UM Basin,Burla||CE-BM, UMB, BURLA",CE AND BM MB13-2025-2026(Online),2025_CEBBU_117004_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,CE AND BM MB BURLA,Office of the Chief Engineer and Basin Manager Mahanadi Basin Burla At Po Burla Dist Sambalpur Odisha Pin 768017,1,Fee/PreQual/Technical,.pdf,DTCN,"10,000",0.0,Nil,Nil,Yes,AOC,Additional Chief Secretary to Government in DoWR,External,Joint Secretary to Government Finance Department Joint Secretary to Government Law Department FA cum Additional Secretary to Government DoWR EIC WR Odisha EIC Procurement EIC PandD CE and BM MB Burla,PADMABATI BOIPAI,04-Feb-2026 07:12 PM,finsummary_549713.pdf (1423.95 KB),"CE-BM,UM Basin,Burla||CE-BM, UMB, BURLA",2025_CEBBU_117004_1,CE AND BM MB13-2025-2026(Online),Renovation of Canal System of Hirakud Dam Project of Lachida Canal Section,Technical,Technical Bid Opening Summary,PADMABATI BOIPAI,15-Sep-2025 05:57 PM,technical_549713.pdf,1.0,3074741.0,RAHUL MISHRA,INR,"186,486,897",1,3074741,RAHUL MISHRA,11-Sep-2025 03:25 PM,Accepted-AOC,1st Lowest responsive Bidder,05-Feb-2026 06:44 PM,05-Feb-2026,"INR 186,486,897",730.0,PADMABATI BOIPAI,05-Feb-2026 06:43 PM,WorkOrderLachida.pdf (719.00 KB),Award of Contract,Finance,Financial bid opening summary,Kulamani Majhi,29-Oct-2025 05:11 PM,finance_549713.pdf,BOQ Comparative Chart,Additional Chief Secretary to Govt in DoWR,External,Deputy Secretary to Govt Law Department Joint secretary to Govt Finance Department FA cum Additional Secretary to Govt DoWR OSD cum EIC WR EIC Procurement EIC P and D CE and BM Mahanadi Basin Burla,PADMABATI BOIPAI,28-Oct-2025 12:38 PM,29-Oct-2025 12:00 PM,techsummary_549713.pdf (882.03 KB),AOC
2,Corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,2,Finance,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3057460,toshabantadash,10-Sep-2025 12:39 PM,Rejected-AOC,2ed lowest responsive bidder,05-Feb-2026 06:44 PM,,,,,,,,,,,,,,,,,,,,,AOC
