Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"License, GSTIN, PAN, Affidavit, EMDs, Paper cost, no relation certificate etc as per DTCN",Sl 8 Improvement to Distribution System of Behera MIP in Koksara Block of Kalahandi District under IDF for the year 2025-26,Improvement to Distribution System of Behera MIP in Koksara Block of Kalahandi District under IDF for the year 2025-26,Please refer Tender documents. ,NA ,"16,92,860",Civil Works - Others,Improvement work ,Tender,90.0,90.0,Koksora,766019.0,NA ,NA ,NA ,"O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",No ,No,22-Dec-2025 11:00 AM,01-Jan-2026 11:00 AM,22-Dec-2025 11:00 AM,31-Dec-2025 05:30 PM,22-Dec-2025 11:00 AM ,29-Dec-2025 05:00 PM ,22-Dec-2025 11:00 AM,31-Dec-2025 05:30 PM,1.0,ICICI BANK,"SE, M.I. Division, Kalahandi, Bhawanipatna","O/o the SE, M.I. Division, Kalahandi, Bhawanipatna","17,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",SE MID BPT 08/2025-26,2025_CEMIB_123561_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Superintending Engineer,Internal,"Saroj Sha,SE ,LK Bastia,DAO,N. Panna,AE,Estr",SAROJ SHA,16-Jan-2026 04:16 PM,finsummary_572727.pdf (634.15 KB),"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",2025_CEMIB_123561_8,SE MID BPT 08/2025-26,Sl 8 Improvement to Distribution System of Behera MIP in Koksara Block of Kalahandi District under IDF for the year 2025-26,1.0,3334104.0,CHANCHAL AGRAWAL,INR,"1,439,099.89",Finance,Tender Opened,SAROJ SHA,14-Jan-2026 12:48 PM,finance_572727.pdf,BOQ Comparative Chart,27-Jan-2026,"INR 1,439,099.89",90.0,SAROJ SHA,13-Feb-2026 12:44 PM,8BeheraChanchal.pdf (272.00 KB),Chanchal Agrawal is the lottery winner,1,3340652,AGRAWAL STORES,30-Dec-2025 07:56 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,Superintending Engineer,Internal,"Saroj Sha,SE ,LK Bastia,DAO,N. Panna,AE,Estr",SAROJ SHA,15-Jan-2026 08:40 PM,techsummary_572727.pdf (634.15 KB),AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3332538,AKASH AGRAWAL,30-Dec-2025 09:56 AM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3341019,AMILAL NAIK,31-Dec-2025 10:34 AM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3334104,CHANCHAL AGRAWAL,28-Dec-2025 05:31 PM,Accepted-AOC,AOC issued to Sri Agrawal,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3339409,GANGADHAR PADHAN,31-Dec-2025 02:55 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3341254,MAHENDRA NAIK,31-Dec-2025 01:56 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3334357,PRATAP KISHOR NAIK,30-Dec-2025 07:37 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3341013,PRIYANKA PUROHIT,31-Dec-2025 10:40 AM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3331455,Rama Chandra Padhan,27-Dec-2025 11:11 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3334778,RITANJALI PANDA,29-Dec-2025 05:30 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3340941,SANKET KUMAR SAHU,31-Dec-2025 05:14 PM,Rejected-AOC,Rejected by Lottery,13-Feb-2026 12:44 PM,,,,,,,AOC
