Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,ok,Barun Kumar Sa,24-Feb-2026 11:19 AM,finance_577784.pdf,BOQ Comparative Chart,Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa,Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,10-Feb-2026 12:57 PM,11-Feb-2026 10:00 AM,techsummary_577784.pdf (645.00 KB),1,3384075,AV MEDIA SOLUTIONS,07-Feb-2026 02:58 PM,Rejected-Finance,L2 Bidder,24-Feb-2026 12:50 PM,24-Feb-2026,"INR 1,266,120",60.0,Barun Kumar Sa,24-Feb-2026 12:54 PM,401.pdf (755.00 KB),Work Order Issued,1.0,3378903.0,Perfect Audio Visual Systems,INR,"1,266,120",Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa,Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,24-Feb-2026 12:50 PM,finsummary_577784.pdf (550.17 KB),Municipal Bodies||Kuchinda NAC,2026_ORULB_125090_5,KCDA/NAC-8/2025-26,Supply and Installation of sound system and UPS under the Development of the Auditorium-cum-Cultural Centre at Kuchinda,Technical,ok,Barun Kumar Sa,10-Feb-2026 12:08 PM,technical_577784.pdf,AOC,Supply and Installation of sound system and UPS under the Development of the Auditorium-cum-Cultural Centre at Kuchinda,Supply and Installation of sound system and UPS under the Development of the Auditorium-cum-Cultural Centre at Kuchinda,As per DTCN ,NA ,0.0,Miscellaneous Works,NA ,Rate Contract,90.0,60.0,Auditorium -cum-Cultural Centre at Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,Municipal Bodies||Kuchinda NAC,KCDA/NAC-8/2025-26,2026_ORULB_125090_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"11,000",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER,"AT/PO-KUCHINDA,DIST-SAMBALPUR,ODISHA",1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,DTCN,30-Jan-2026 10:00 AM,10-Feb-2026 10:00 AM,30-Jan-2026 10:00 AM,09-Feb-2026 05:30 PM,30-Jan-2026 10:00 AM ,09-Feb-2026 05:30 PM ,30-Jan-2026 10:00 AM,09-Feb-2026 05:30 PM,11-Feb-2026 10:00 AM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,2,3378903,Perfect Audio Visual Systems,06-Feb-2026 09:04 PM,Accepted-AOC,L1 Bidder,24-Feb-2026 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
