Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,"12Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,08-Jan-2026 11:59 AM,finance_573279.pdf,BOQ Comparative Chart,1.0,3337745.0,ONE STEP SOLUTIONS,INR,"924,111",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_123810_1,SE R and B Divn NoI Bam 44/2025-26,"S.I.T.C of CCTV Camera in periphery of CCE Office Building and residence cum office of the Chief Construction Engineer, southern Circle, Berhampur","Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,21-Feb-2026 01:31 PM,finsummary_573279.pdf (819.31 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,21-Feb-2026 01:18 PM,techsummary_573279.pdf (819.31 KB),1,3341032,BALBIR SINGH GOG,31-Dec-2025 11:04 AM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,21-Feb-2026,"INR 924,111",30.0,Somanath Tripathy,21-Feb-2026 01:35 PM,1124.pdf (819.00 KB),Contract Awarded to Sri/Smt One Step Solutions,AOC,24-Dec-2025 06:00 PM,01-Jan-2026 11:30 AM,24-Dec-2025 06:00 PM,31-Dec-2025 04:00 PM,24-Dec-2025 06:00 PM ,31-Dec-2025 04:00 PM ,24-Dec-2025 06:00 PM,31-Dec-2025 04:00 PM,1.0,ICICI BANK,"S.I.T.C of CCTV Camera in periphery of CCE Office Building and residence cum office of the Chief Construction Engineer, southern Circle, Berhampur","S.I.T.C of CCTV Camera in periphery of CCE Office Building and residence cum office of the Chief Construction Engineer, southern Circle, Berhampur",NA ,NA ,"10,87,061",Electrical Works,NA ,Tender,90.0,30.0,Ganjam,760005.0,NA ,NA ,NA ,Office of the Superintending Engineer Ganjam Rand,No ,No,"6,000",0.0,Nil,Nil,No,"10,900",Yes,fixed,,Nil,Nil,Superintending Engineer Ganjam Rand B Division No.,Office of the Superintending Engineer Ganjam Rand B Division No.I Berhampur,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE R and B Divn NoI Bam 44/2025-26,2025_EICCL_123810_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3340760,CORPORATE AGENCY,30-Dec-2025 08:09 PM,Rejected-Technical,Rejected due to not submit proper authorization,21-Feb-2026 01:18 PM,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3341075,Debajyoti millennium pvt ltd,31-Dec-2025 02:43 PM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3341131,MARUTI CONSTRUCTIONS,31-Dec-2025 12:07 PM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3339736,M/S GANGA ELECTRIC,31-Dec-2025 05:46 AM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3335062,M/s.TULSHI ENTERPRISES,30-Dec-2025 12:22 PM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3337745,ONE STEP SOLUTIONS,29-Dec-2025 05:01 PM,Accepted-AOC,Win in Lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3340912,PERFECT COMPUTER,31-Dec-2025 12:29 AM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3334577,SANJIT KUMAR PATTNAIK,28-Dec-2025 07:27 PM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3334738,SHREE ENTERPRISES,28-Dec-2025 08:18 PM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3341036,SMART I TECHNOLOGIES,31-Dec-2025 12:42 PM,Rejected-AOC,Reject in lottery,21-Feb-2026 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3339997,VACRON TECHNOLOGY PRIVATE LIMITED,30-Dec-2025 05:59 PM,Rejected-Technical,Rejected due to not submit proper authorization,21-Feb-2026 01:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
