S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3366182.0,PADMALOCHAN PRADHAN,INR,"376,384",Finance,Bid documents of all the bidders have been downloaded successfully.,Santoshibala Sahuranta Sahoo,03-Feb-2026 12:32 PM,finance_576833.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,17-Feb-2026 11:51 AM,finsummary_576833.pdf (455.27 KB),CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2026_CEBBS_124843_1,SE-AID-12/2025-26,"Provision for Clearance of vegetation growth, providing precast concrete benches and painting of boundary wall and iron grill to proposed Park of Manjore Irrigation Project",Superintending Engineer,Internal,"DAO, Estimator,",Samyak Bikash Subudhi,17-Feb-2026 11:38 AM,techsummary_576833.pdf (200.68 KB),17-Feb-2026,"INR 376,384",30.0,Samyak Bikash Subudhi,17-Feb-2026 01:04 PM,12WOPadmalochanPradhan.pdf (1283.00 KB),Winner in the transparent lottery system.,1,3365231,Ajit Kumar Acharya,25-Jan-2026 12:53 PM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,21-Jan-2026 11:00 AM,31-Jan-2026 11:00 AM,21-Jan-2026 11:00 AM,30-Jan-2026 05:00 PM,21-Jan-2026 11:00 AM ,27-Jan-2026 05:00 PM ,21-Jan-2026 11:00 AM,30-Jan-2026 05:00 PM,"2,000",Nil,Nil,No,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-AID-12/2025-26,2026_CEBBS_124843_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor R.C, Registered under CDMS portal, NRC.",1.0,ICICI BANK,"Provision for Clearance of vegetation growth, providing precast concrete benches and painting of boundary wall and iron grill to proposed Park of Manjore Irrigation Project","Provision for Clearance of vegetation growth, providing precast concrete benches and painting of boundary wall and iron grill to proposed Park of Manjore Irrigation Project",NA ,NA ,,Civil Works - Others,Park works ,Tender,90.0,30.0,Angul,759143.0,NA ,NA ,NA ,"O.O the S.E, Angul Irr. Divn. Angul",No ,No,"S.E, Angul Irr. Divn. Angul","O.O the S.E, Angul Irr. Divn. Angul, At/P.O- Hakimpada, Dist-Angul","3,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3363417,ANCHAL AGRAWAL,25-Jan-2026 12:05 PM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD/DTCN.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3365214,KAMAL KUMAR GOENKA,25-Jan-2026 11:47 AM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3366104,MANABHANJAN PANDA,26-Jan-2026 01:58 PM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3366182,PADMALOCHAN PRADHAN,26-Jan-2026 03:55 PM,Accepted-AOC,Winner in the transparent lottery system for award of contract.,17-Feb-2026 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3365172,SARITA AGRAWALA,25-Jan-2026 11:10 AM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3365788,Sudam Sethy,26-Jan-2026 11:38 AM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3365853,Sunil Kumar Panda,26-Jan-2026 12:06 PM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3365222,TRUPTIPRIYA PANDA,25-Jan-2026 12:17 PM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3371726,UPENDRA PRADHAN,30-Jan-2026 01:28 PM,Rejected-Finance,Not won in the transparent lottery system,17-Feb-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
