Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Successful bidder Kunja Bihari Sahu B Class Contractor Stands is 1st Lowest.,Mahendra Kalet,20-Feb-2026 08:07 PM,finance_568574.pdf,BOQ Comparative Chart,DAO/EE/EST,Internal,DAO/EE/EST,Mahendra Kalet,08-Jan-2026 01:06 PM,12-Jan-2026 03:30 PM,techsummary_568574.pdf (358.53 KB),20-Feb-2026,"INR 7,200,681",120.0,Mahendra Kalet,20-Feb-2026 08:16 PM,Work.pdf (1076.00 KB),Successful bidder Kunja Bihari Sahu B Class Contractor Stands is 1st Lowest.,1,3288171,Ashok Kumar Behera,08-Dec-2025 02:38 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,1.0,3277526.0,Kunja Bihari Sahu,INR,"7,200,681",DAO/EE/EST,Internal,DAO/EE/EST,Mahendra Kalet,20-Feb-2026 08:12 PM,finsummary_568574.pdf (1075.87 KB),CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,2025_CERWI_122311_1,Online Tender- 13/EERWDBLG/2025-26,Construction of road from RD Road to Bhadrangi under CRPF Camp in the District of Kandhamal for the year 2025-26,Technical,Contractor have Fulfiled the minimum eligibility criteria stipulated in various clauses of DTCN and declared qualified by the Technical Evaluation Committee,Mahendra Kalet,08-Jan-2026 01:02 PM,technical_568574.pdf,AOC,CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,Online Tender- 13/EERWDBLG/2025-26,2025_CERWI_122311_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, GSTIN, PAN, RC, Machinery and as per DTCN Cost of tender Paper",1.0,Date Extended,Date,,1.0,ICICI BANK,"84,700",Yes,fixed,,Nil,Nil,02-Dec-2025 10:00 AM,12-Dec-2025 11:30 AM,02-Dec-2025 10:00 AM,11-Dec-2025 05:00 PM,02-Dec-2025 10:00 AM ,10-Dec-2025 05:00 PM ,02-Dec-2025 10:00 AM,11-Dec-2025 05:00 PM,12-Jan-2026 03:30 PM,Construction of road from RD Road to Bhadrangi under CRPF Camp in the District of Kandhamal for the year 2025-26,Construction of road from RD Road to Bhadrangi under CRPF Camp in the District of Kandhamal for the year 2025-26,Please refer Tender documents. ,NA ,"84,70,393",Civil Works - Roads,NA ,Tender,90.0,120.0,"EE RWD Balliguda, Kandhamal",762013.0,NA ,NA ,NA ,"Executive Engineer, Rural Works Division, Balligu",No ,No,"Executive Engineer, Rural Works Division, Balligu","Executive Engineer, Rural Works Division, Balliguda","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,2,3288855,BASUDEB DAS,11-Dec-2025 01:23 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Valid Mail ID and Whatsapp No.,2.0,"Revised DTCN,Relaxation",Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3288299,DEBASISH MOHANTY,08-Dec-2025 01:07 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3288987,HERO WANI JENA,08-Dec-2025 02:53 PM,Rejected-Technical,Disqualified due to non submission of required machineries as per Clause No.2.1 (5) of DTCN,08-Jan-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3288999,HIMANSU SEKHAR PADHI,08-Dec-2025 02:21 PM,Rejected-Technical,Disqualified due to non submission of required machineries as per Clause No.2.1 (5) of DTCN,08-Jan-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3295344,JAYABARDHAN PATRA,11-Dec-2025 02:23 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3277526,Kunja Bihari Sahu,08-Dec-2025 03:00 PM,Accepted-AOC,Successful bidder Kunja Bihari Sahu B Class Contractor Stands is 1st Lowest.,20-Feb-2026 08:16 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3288049,LILABATI AGRAWAL,08-Dec-2025 02:20 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3289343,Pruthibraj Pradhan,08-Dec-2025 03:06 PM,Rejected-Technical,Disqualified due to non submission of required machineries as per Clause No.2.1 (5) of DTCN,08-Jan-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3294046,RAHUL BOSE,10-Dec-2025 08:16 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,11,3285825,SANJAYA KUMAR GOUDA,07-Dec-2025 02:41 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,12,3287038,Santosh Kumar Panda,08-Dec-2025 12:12 PM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,13,3286674,Tutu Barada,11-Dec-2025 10:01 AM,Rejected-Finance,Unccessful bidder,20-Feb-2026 08:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
