Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"The Superintending Engineer, GID, PKD","O/o The Superintending Engineer, Gajapati Irrigation Division, Paralakhemundi","CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Paralakhemundi Irr Divn Paralakhemundi",SE-GID-04/2025-26,2025_CEBMB_123666_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GSTIN, PAN CARD, NO RELATION CERTIFICATE, AFFIDAVIT, EMD, TENDER PAPERCOST",Flood protection work to left bank of Ghodasala Nalla at upstream side of culvert near village Tandiguda of R.Udayagiri Block.,Flood protection work to left bank of Ghodasala Nalla at upstream side of culvert near village Tandiguda of R.Udayagiri Block.,Please refer Tender documents. ,NA ,"42,18,636",Civil Works - Others,NA ,Tender,90.0,330.0,R.UDAYAGIRI,761016.0,NA ,NA ,NA ,"O/o The Superintending Engineer, GID, PKD",No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,24-Dec-2025 10:00 AM,06-Jan-2026 11:00 AM,24-Dec-2025 10:00 AM,05-Jan-2026 05:30 PM,24-Dec-2025 10:00 AM ,30-Dec-2025 05:30 PM ,24-Dec-2025 10:00 AM,05-Jan-2026 05:30 PM,"42,200",Yes,fixed,,Nil,Nil,AOC,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Paralakhemundi Irr Divn Paralakhemundi",2025_CEBMB_123666_8,SE-GID-04/2025-26,Flood protection work to left bank of Ghodasala Nalla at upstream side of culvert near village Tandiguda of R.Udayagiri Block.,SUPERINTENDING ENGINEER,Internal,,Saroja Kumar Nayak,05-Feb-2026 07:18 PM,finsummary_572932.pdf (807.97 KB),Finance,Detailed tender opening summary uploaded.,Mohit Acharya,18-Jan-2026 12:59 PM,finance_572932.pdf,BOQ Comparative Chart,1.0,3345193.0,Allapa Ganapati Rao,INR,"3,586,263",1,3345193,Allapa Ganapati Rao,05-Jan-2026 01:55 PM,Accepted-AOC,Winner of transparent lottery,05-Feb-2026 07:24 PM,05-Feb-2026,"INR 3,586,263",330.0,Saroja Kumar Nayak,05-Feb-2026 07:24 PM,WORKORDERUpstream.pdf (814.00 KB),SUPERINTENDING ENGINEER,Internal,,Saroja Kumar Nayak,18-Jan-2026 01:46 PM,techsummary_572932.pdf (807.97 KB),AOC
,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER DOCUMENTS AS PER SBD AND DTCN,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3342879,ANISHA KAR,02-Jan-2026 08:14 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3343055,ARADHANA CHOUDHURY,03-Jan-2026 11:16 AM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3345407,BEJJIPURAPU VASU NAIDU,05-Jan-2026 03:08 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3343767,Bongu Tirupati Rao,04-Jan-2026 10:43 AM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3345370,DIPAK JENA,05-Jan-2026 02:45 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3344965,KHAGESWAR PATRA,05-Jan-2026 01:10 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3345098,Kumar Gouda,05-Jan-2026 01:27 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3344702,MADAN GOUDA,05-Jan-2026 11:27 AM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3345216,MITHUN KUMAR DAS,05-Jan-2026 02:19 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3343726,NIRANJAN DASH,05-Jan-2026 03:42 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3345615,P MUTTI RAJU,05-Jan-2026 03:56 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,13,3337866,POTRAKONDA OMKAR,29-Dec-2025 04:48 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,14,3329078,P.Yogeswer Rao,02-Jan-2026 06:15 PM,Rejected-Finance,Non responsive and looser of lottery,05-Feb-2026 07:18 PM,,,,,,,,,,,,,AOC
