Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,"5 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Jayanta Kumar Maitra,23-Jun-2025 04:22 PM,finance_541428.pdf,BOQ Comparative Chart,1.0,2975368.0,SOUMYA RANJAN DAS,INR,"1,370,627.87",Municipal Bodies||Puri Municipality,2025_ORULB_113908_7,P.M. 01/2025-26,Improvement of Road and Drain from Sarbamangala Pathagar to Bhatta Jaga via. Maninageswari in ward No-02,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,23-Feb-2026 07:46 PM,finsummary_541428.pdf (4629.61 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,23-Feb-2026 07:42 PM,techsummary_541428.pdf (4629.61 KB),1,2971240,ASWINI KUMAR PRADHAN,18-Jun-2025 07:52 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,23-Feb-2026 07:46 PM,23-Feb-2026,"INR 1,370,627.87",60.0,Jayanta Kumar Maitra,23-Feb-2026 07:48 PM,ProceddingPM01Y2526.pdf (4630.00 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF OR UNDERTAKING FOR EPF And AFFIDAVIT any other as per DTCN","EXECUTIVE OFFICER, PURI MUNICIPALITY",VIP ROAD,Municipal Bodies||Puri Municipality,P.M. 01/2025-26,2025_ORULB_113908_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,"16,124",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,31-May-2025 03:00 PM,21-Jun-2025 11:00 AM,31-May-2025 03:00 PM,20-Jun-2025 05:00 PM,NA ,NA ,31-May-2025 03:00 PM,20-Jun-2025 05:00 PM,Improvement of Road and Drain from Sarbamangala Pathagar to Bhatta Jaga via. Maninageswari in ward No-02,CIVIL,Please refer Tender documents. ,NA ,"16,12,314",Civil Works - Others,NA ,Tender,120.0,60.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2969154,LAXMIDHARA BEHERA,18-Jun-2025 08:45 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,23-Feb-2026 07:46 PM,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2975405,PRAMOD SAHOO,20-Jun-2025 03:15 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,23-Feb-2026 07:46 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2974094,SANGRAM KUMAR BISWAL,20-Jun-2025 11:49 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,23-Feb-2026 07:46 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2975368,SOUMYA RANJAN DAS,20-Jun-2025 02:51 PM,Accepted-AOC,WON BY LOTTERY PROCESS,23-Feb-2026 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
