S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"Executive Engineer,Div-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012","7,080",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.",28-Oct-2025 11:00 AM,10-Nov-2025 10:00 AM,28-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,NA ,NA ,28-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-IINo.17/2025-26,2025_ORULB_118698_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Renovation of Govt. Toilet near Budhimangala High School in Ward No.39. (Patra Sahi),Renovation of Govt. Toilet near Budhimangala High School in Ward No.39. (Patra Sahi),Please refer Tender documents. ,NA ,"14,71,426",Civil Works - Others,NA ,Tender,75.0,60.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,"15,000",Yes,fixed,,Nil,Nil,AOC,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_118698_5,MC(CMC)CTC_Div-IINo.17/2025-26,Renovation of Govt. Toilet near Budhimangala High School in Ward No.39. (Patra Sahi),Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,14-Feb-2026 01:16 PM,finsummary_558824.pdf (402.60 KB),Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Bharat Kumar Sethi,11-Nov-2025 10:57 AM,finance_558824.pdf,BOQ Comparative Chart,1.0,3178926.0,RAHUL KUMAR SWAIN,INR,"1,543,525",1,3178848,Ganesh Chandra Swain,03-Nov-2025 07:13 PM,Rejected-AOC,Rejected,14-Feb-2026 01:19 PM,14-Feb-2026,"INR 1,543,525",60.0,Sanjukta Sa,14-Feb-2026 01:19 PM,4457.pdf (116.00 KB),wo,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,14-Feb-2026 12:16 PM,techsummary_558824.pdf (402.60 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3178926,RAHUL KUMAR SWAIN,03-Nov-2025 07:27 PM,Accepted-AOC,Accepted,14-Feb-2026 01:19 PM,,,,,,,,,,,,,,AOC
