Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
29-Nov-2025 06:00 PM,10-Dec-2025 11:00 AM,29-Nov-2025 06:00 PM,09-Dec-2025 05:00 PM,29-Nov-2025 06:00 PM ,08-Dec-2025 05:00 PM ,29-Nov-2025 06:00 PM,09-Dec-2025 05:00 PM,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, Affidavit and other documents as per DTCN",CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION-KENDRAPARA,RWD / KPD-10 of 2025-26,2025_CERWI_122124_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,900",Yes,fixed,,Nil,Nil,"Executive Engineer R.W. Division, Kendrapara","Executive Engineer R.W. Division, Kendrapara",S/R to R.I. Office Building Dumuka in the District of Kendrapara for the year 2025-2026,Building Work,Please refer Tender documents. ,NA ,"3,81,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Kendrapara,754211.0,NA ,NA ,NA ,"Executive Engineer R.W. Division, Kendrapara",No ,No,AOC,"Executive Engineer R.W.Division, Kendrapara",Internal,"D.A.O, Junior Engineer(Estimator",Bhagirathi Dash,23-Feb-2026 04:27 PM,finsummary_568257.pdf (466.80 KB),"Executive Engineer R.W.Division, Kendrapara",Internal,"D.A.O, Junior Engineer(Estimator",Bhagirathi Dash,23-Feb-2026 04:12 PM,techsummary_568257.pdf (466.80 KB),1,3291427,AMIYA TRADING AGENCY,09-Dec-2025 01:45 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION-KENDRAPARA,2025_CERWI_122124_32,RWD / KPD-10 of 2025-26,S/R to R.I. Office Building Dumuka in the District of Kendrapara for the year 2025-2026,1.0,3286891.0,SAROJINI SETHY,INR,"323,498",23-Feb-2026,"INR 323,498",30.0,Bhagirathi Dash,23-Feb-2026 04:33 PM,6593.pdf (171.00 KB),Successful Qualify Bidder,Finance,Fifteen Numbers of Bidder Participated,Bhagirathi Dash,12-Dec-2025 04:27 PM,,BOQ Comparative Chart,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3290088,BISHAL PATRA,08-Dec-2025 06:14 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3290437,BISWAJEET MALLICK,08-Dec-2025 09:20 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3289294,BITASHOK SWAIN,08-Dec-2025 02:56 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3285684,JAGABANDHU MOHANTY,07-Dec-2025 11:34 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3285516,Keshab Charan Nayak,07-Dec-2025 11:32 AM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3291924,MIR AETSAM UL HAQ,09-Dec-2025 04:13 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3274756,MRUTYUNJAY PARIDA,06-Dec-2025 11:41 AM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3289893,M/S Sudhir Kumar Behera,08-Dec-2025 04:30 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3290853,RABINDRA KUMAR KAR,09-Dec-2025 11:44 AM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,11,3290299,SABITA NAYAK,08-Dec-2025 07:37 PM,Rejected-Finance,Did not Win the Lottery,23-Feb-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,12,3286891,SAROJINI SETHY,07-Dec-2025 08:49 PM,Accepted-AOC,Successful Qualify Bidder,23-Feb-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
