S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Municipal Bodies||Vyasanagar Municipality,03/VNM/2025-26,2025_ORULB_123345_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of crematorium in ward No- 01,Construction of crematorium in ward No- 01,Please refer Tender documents. ,NA ,"14,54,020",Civil Works - Roads,NA ,Tender,60.0,60.0,VYASANAGAR MUNICIPALITY,755019.0,NA ,NA ,NA ,EXECUTIVE OFFICER CHAMBER,No ,No,"6,000",0.0,Nil,Nil,No,18-Dec-2025 10:00 AM,02-Jan-2026 11:00 AM,18-Dec-2025 10:00 AM,31-Dec-2025 05:00 PM,NA ,NA ,18-Dec-2025 10:00 AM,31-Dec-2025 05:00 PM,"14,550",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER,EXECUTIVE OFFICER CHAMBER VYASANAGAR MUNICIPALITY,AOC,Municipal Bodies||Vyasanagar Municipality,2025_ORULB_123345_7,03/VNM/2025-26,Construction of crematorium in ward No- 01,Eo,Internal,"me,je,accountant",Manas Ranjan Sahoo,19-Feb-2026 12:46 PM,finsummary_572017.pdf (407.65 KB),Finance,ok,Manas Ranjan Sahoo,19-Feb-2026 12:42 PM,finance_572017.pdf,BOQ Comparative Chart,1.0,3333599.0,RANJAN KUMAR SETHY,INR,"1,355,147.092",1,3333599,RANJAN KUMAR SETHY,28-Dec-2025 12:39 PM,Accepted-AOC,due to l1,19-Feb-2026 12:54 PM,19-Feb-2026,"INR 1,355,147.092",60.0,Manas Ranjan Sahoo,19-Feb-2026 12:53 PM,WMw.pdf (217.00 KB),due to l1,Eo,Internal,"me,je,accountant",Manas Ranjan Sahoo,19-Feb-2026 12:44 PM,techsummary_572017.pdf (407.65 KB),AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3333479,TANMAYA PANDA,28-Dec-2025 12:04 PM,Rejected-Finance,due to l2,19-Feb-2026 12:46 PM,,,,,,,,,,,,,,AOC
