S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3003211.0,AMRIT PRITAM,INR,"2,765,154",Finance,16 bidders applied,Dasharathi Sethy,19-Feb-2026 05:58 PM,,BOQ Comparative Chart,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,19-Feb-2026 06:04 PM,finsummary_545690.pdf (559.25 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_115407_1,OnlineEERKL 02/2025-26,Construction of single D type staff Quarter at Govt. Ayurvedic Dispensary Building at Khuntagaon,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,19-Feb-2026 06:00 PM,techsummary_545690.pdf (559.25 KB),19-Feb-2026,"INR 2,765,154",180.0,Dasharathi Sethy,19-Feb-2026 06:09 PM,01.pdf (559.00 KB),Awarded Cost,1,3002983,AMIT KUMAR KESHARI,18-Jul-2025 12:02 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,Construction of single D type staff Quarter at Govt. Ayurvedic Dispensary Building at Khuntagaon,Construction of single D type staff Quarter at Govt. Ayurvedic Dispensary Building at Khuntagaon,NA ,NA ,"32,52,740",Civil Works - Buildings,NA ,Tender,90.0,180.0,ROURKELA,769004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, SUNDARGARH",No ,No,"32,530",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,OnlineEERKL 02/2025-26,2025_CERWI_115407_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Jul-2025 05:00 PM,21-Jul-2025 11:00 AM,10-Jul-2025 05:00 PM,18-Jul-2025 05:00 PM,10-Jul-2025 05:00 PM ,17-Jul-2025 05:00 PM ,10-Jul-2025 05:00 PM,18-Jul-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, SUNDARGARH",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3003211,AMRIT PRITAM,18-Jul-2025 03:33 PM,Accepted-AOC,Awarded,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000992,BIJAY KUMAR SAHOO,16-Jul-2025 02:09 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3000262,BIKAS MUNDARY,15-Jul-2025 07:04 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3000424,DEEPAK KUMAR DAS,15-Jul-2025 10:03 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3002714,KEDAR CHOUDHURY,18-Jul-2025 11:52 AM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3003242,Maa Bhanbhori Constructions,18-Jul-2025 03:01 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3001155,NIBHA MISHRA,16-Jul-2025 03:58 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3002677,P. TARINI PRASAD,17-Jul-2025 08:51 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3003061,RAHUL KESHRI,18-Jul-2025 01:10 PM,Rejected-AOC,Rejected by the Committee Members,19-Feb-2026 06:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
