Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-43/2025-26 Dt. 20.11.2025,2025_ORULB_121641_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"17,000",Yes,fixed,,Nil,Nil,22-Nov-2025 11:30 AM,04-Dec-2025 11:30 AM,22-Nov-2025 11:30 AM,03-Dec-2025 05:00 PM,22-Nov-2025 11:30 AM ,26-Nov-2025 12:30 PM ,22-Nov-2025 11:30 AM,03-Dec-2025 05:00 PM,Construction of Road from Navy College to Sairam Basti Bharatpur in Ward No. 22,Construction of Road from Navy College to Sairam Basti Bharatpur in Ward No. 22,Please refer Tender documents. ,NA ,"16,94,343",Civil Works - Roads,NA ,Tender,120.0,75.0,BMC Area,751022.0,Office Chamber of EE Central Tender Cell ,"UG Floor,BMC ICOMC Tower,Bhubaneswar,751022 ",26-Nov-2025 04:00 PM ,Central Tender Cell,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,Executive Engineer (Central Tender Cell),"UG Floor,BMC ICOMC Tower,Bhubaneswar,751022","6,000",0.0,Nil,Nil,No,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,03-Feb-2026 10:47 AM,techsummary_565961.pdf (2707.54 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,03-Feb-2026 10:56 AM,finsummary_565961.pdf (4737.29 KB),Finance,17 bids opened successfully,Lipsa Parida,04-Dec-2025 01:55 PM,finance_565961.pdf,BOQ Comparative Chart,03-Feb-2026,"INR 1,699,626",75.0,Lipsa Parida,03-Feb-2026 11:00 AM,workorder_10.pdf (513.00 KB),1,3270255,ANJAN KUMAR DAS,01-Dec-2025 04:55 PM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_121641_10,BMC-EE-Tender Cell-43/2025-26 Dt. 20.11.2025,Construction of Road from Navy College to Sairam Basti Bharatpur in Ward No. 22,1.0,3272468.0,GYANA RANJAN PATRA,INR,"1,699,626",AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3263124,CHANDAN PRASAD JENA,28-Nov-2025 12:43 PM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3272753,DEBANSHEE INFRA AND ASSOCIATES,02-Dec-2025 07:52 PM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3274095,GURU KRUSHNA MUKHI,03-Dec-2025 11:14 AM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3272468,GYANA RANJAN PATRA,03-Dec-2025 03:54 PM,Accepted-AOC,L1 Bidder,03-Feb-2026 11:00 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3274183,KABITA MALLICK,03-Dec-2025 11:58 AM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3274631,MANAS SUNDAR RATH,03-Dec-2025 01:14 PM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3271788,M/S SOMANATH BHUJABAL,03-Dec-2025 11:43 AM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3273382,RAJIV KUMAR JENA,03-Dec-2025 02:44 AM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3273344,RANJIT KUMAR DAS,03-Dec-2025 09:10 AM,Rejected-Finance,Rejected,03-Feb-2026 10:56 AM,,,,,,,,,,AOC
