S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3227603.0,KRUPASINDHU BEHERA,INR,"1,138,400",Finance,succssfully downloaded,Samyak Bikash Subudhi,17-Nov-2025 04:44 PM,finance_561539.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"AEE, Estimator, AE, JE, DAO, Police personel, contractors and their representatives",Samyak Bikash Subudhi,26-Nov-2025 11:17 AM,finsummary_561539.pdf (496.91 KB),CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2025_CEBBS_120721_2,SE-HWD-04/2025-26,Repair and maintennace of E-type Quarter including drainage system at SBTS.,Superintending Engineer,Internal,"Estimator, JE, DAO",Samyak Bikash Subudhi,24-Nov-2025 01:52 PM,techsummary_561539.pdf (624.71 KB),08-Dec-2025,"INR 1,138,400",60.0,Samyak Bikash Subudhi,03-Feb-2026 12:06 PM,aoc.pdf (302.00 KB),aoc,1,3222158,ASHOK KUMAR PRADHAN,13-Nov-2025 05:20 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,1.0,ICICI BANK,"13,400",Yes,fixed,,Nil,Nil,Repair and maintennace of E-type Quarter including drainage system at SBTS.,Repair and maintennace of E-type Quarter including drainage system at SBTS.,Please refer Tender documents. ,NA ,,Civil Works - Buildings,Quarter maintenance ,Tender,90.0,60.0,Samal,759037.0,NA ,NA ,NA ,"Office of the SE, HWD, Samal",No ,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"tender cost, EMD, GSTIN, PAN, contractor RC",06-Nov-2025 10:00 AM,17-Nov-2025 11:30 AM,06-Nov-2025 10:00 AM,15-Nov-2025 05:00 PM,06-Nov-2025 10:00 AM ,13-Nov-2025 05:00 PM ,06-Nov-2025 10:00 AM,15-Nov-2025 05:00 PM,"Superintending Engineer, HWD, Samal","Office of Superintending Engineer, Head Works Division, Samal, 759037",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-HWD-04/2025-26,2025_CEBBS_120721_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3223369,BIRAJINI SAHOO,14-Nov-2025 07:47 AM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"affidavit, undertakings and all other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3222203,BISHNU CHARAN SAHOO,13-Nov-2025 05:46 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3227486,BUDHADEV BAHADUR,15-Nov-2025 04:27 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3220931,DILLIP KUMAR BEHERA,13-Nov-2025 06:46 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3218452,KASTU SAHOO,12-Nov-2025 05:51 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3227603,KRUPASINDHU BEHERA,15-Nov-2025 03:10 PM,Accepted-AOC,he is the winner in lottery,03-Feb-2026 12:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3227336,LINGARAJ BEHERA,15-Nov-2025 01:30 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3224682,MISIRA KUMAR DHAR,14-Nov-2025 02:05 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3222277,NAYANI PRADHAN,13-Nov-2025 06:01 PM,Rejected-Finance,being not the winner in lottery,26-Nov-2025 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
