Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Divisional Head WSEC-II,Internal,"Accounts Personel WSEC-II, AEE(PH) WSEC-II, DH WSEC-II",Taraprasad Mallik,12-Sep-2025 06:00 PM,17-Sep-2025 05:00 PM,techsummary_549399.pdf (593.55 KB),1.0,3041556.0,Shreekhetra Associates,INR,"3,445,100",IDCO||IDCO||IDCO,2025_IDCO_116943_1,WSEC-II/D-2/2025-26,Procurement of Spares for repair of VMF15A pump set at KNIC Pump House Jajpur,Finance,Financial Bid Opened,Taraprasad Mallik,17-Sep-2025 05:22 PM,,BOQ Comparative Chart,1,3041556,Shreekhetra Associates,20-Aug-2025 09:13 PM,Accepted-AOC,L1 bidder after negotiation of quoted rates,11-Feb-2026 06:21 PM,Technical,TECHNICAL BID OPENED,Taraprasad Mallik,03-Sep-2025 05:34 PM,,"DH, WSEC-II",Internal,"DH WSEC-II, AEE(PH), Accounts Personel",SMARAN SHANKAR MISHRA,11-Feb-2026 06:13 PM,finsummary_549399.pdf (1112.09 KB),11-Feb-2026,"INR 3,445,100",90.0,SMARAN SHANKAR MISHRA,11-Feb-2026 06:21 PM,AgreementSPare.pdf (799.00 KB),AOC,DH WSEC II,IDCO TOWER,Procurement of Spares for repair of VMF15A pump set at KNIC Pump House Jajpur,Procurement of Spares for repair of VMF15A pump set at KNIC Pump House Jajpur,Please refer Tender documents. ,NA ,"31,32,194",Civil Works - Water Works,NA ,Tender,90.0,90.0,KNIC JAJPUR,755026.0,NA ,NA ,NA ,IDCO TOWER,No ,No,"31,322",Yes,percentage,1.0%,Nil,Nil,16-Aug-2025 05:00 PM,03-Sep-2025 05:00 PM,16-Aug-2025 05:00 PM,02-Sep-2025 05:00 PM,16-Aug-2025 05:00 PM ,27-Aug-2025 05:00 PM ,16-Aug-2025 05:00 PM,02-Sep-2025 05:00 PM,17-Sep-2025 05:00 PM,IDCO||IDCO||IDCO,WSEC-II/D-2/2025-26,2025_IDCO_116943_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Refer DTCN,"7,080",0.0,Nil,Nil,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3041574,shree lakshmi engineering,20-Aug-2025 09:27 PM,Rejected-AOC,L-2 Bidder,11-Feb-2026 06:21 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Refer BoQ,,,,,,2,ICICI NEFT/RTGS,AOC
