Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,000",0.0,Nil,Nil,No,Construction of Nilabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,Construction of Nilabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,Please refer tender documents ,NA ,"47,58,196",Civil Works - Water Works,NA ,Tender,90.0,120.0,Bandhugaon,764027.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN",14-Jul-2025 10:00 AM,24-Jul-2025 11:00 AM,14-Jul-2025 10:00 AM,23-Jul-2025 05:00 PM,NA ,NA ,14-Jul-2025 10:00 AM,23-Jul-2025 05:00 PM,"47,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore","CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY02/2025-26,2025_CEMIB_115377_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Superintending Engineer,Internal,,Nihar Ranjan Behera,10-Feb-2026 12:57 PM,techsummary_545686.pdf (208.72 KB),Superintending Engineer,Internal,,Nihar Ranjan Behera,10-Feb-2026 01:05 PM,finsummary_545686.pdf (208.72 KB),Finance,On opening the bids total 30 nos. of bids were found to be received online. Hence 30 nos. of bids were found to be valid.,Nihar Ranjan Behera,10-Feb-2026 12:52 PM,finance_545686.pdf,BOQ Comparative Chart,10-Feb-2026,"INR 4,044,942",120.0,Nihar Ranjan Behera,10-Feb-2026 01:12 PM,Nilabadiaoc.pdf (170.00 KB),Aoc,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_115377_15,MIDJEY02/2025-26,Construction of Nilabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,1.0,3006401.0,PRASAD WATAKA,INR,"4,044,942",1,3009575,ASHOK KUMAR PRADHAN,23-Jul-2025 10:50 AM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3010095,BAPINA NAIK,23-Jul-2025 03:39 PM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3009121,BHUJABALA DAKUA,23-Jul-2025 10:17 AM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3009985,CHALA CHIRANJIVI,23-Jul-2025 02:22 PM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3008087,CHANDRA SEKHAR SAHUKAR,22-Jul-2025 09:28 AM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3010171,CHINMAY NAYAK,23-Jul-2025 04:25 PM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3006975,CHITTA RANJAN SARKAR,21-Jul-2025 06:09 PM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3004596,DAITARI BENIA,20-Jul-2025 07:37 AM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3004972,DILIP KUMAR PRADHAN,20-Jul-2025 02:10 PM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3009639,G DEEPAK KUMAR,23-Jul-2025 11:39 AM,Rejected-AOC,Reject,10-Feb-2026 01:12 PM,AOC
