Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
17-Dec-2025 10:00 AM,29-Dec-2025 04:30 PM,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,NA ,NA ,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,1.0,ICICI BANK,Construction of Paver Block road from Santapriya House towards Dinabandhu House at Adarshanagar in ward No 11,Construction of Paver Block road from Santapriya House towards Dinabandhu House at Adarshanagar in ward No 11,Please refer Tender documents. ,NA ,"1,69,011",Civil Works - Roads,NA ,Tender,90.0,30.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Redhakhol NAC,RDL NAC-4/2025-26,2025_ORULB_123226_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,600.0,0.0,Nil,Nil,No,"1,690",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",AOC,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,06-Feb-2026 04:55 PM,techsummary_571843.pdf (446.60 KB),Sibaram Sahoo,Internal,"Chairperson, EO, ME, JE",RANJAN KUMAR MARTHA,17-Feb-2026 05:09 PM,finsummary_571843.pdf (1647.40 KB),Finance,21 bidder participated and admitted for Technical Evaluation,RANJAN KUMAR MARTHA,30-Jan-2026 05:52 PM,,BOQ Comparative Chart,1.0,3326563.0,KAUSTAVA MANI RAUL,INR,"168,842",Municipal Bodies||Redhakhol NAC,2025_ORULB_123226_11,RDL NAC-4/2025-26,Construction of Paver Block road from Santapriya House towards Dinabandhu House at Adarshanagar in ward No 11,1,3326876,AKHUJA NAIK,24-Dec-2025 07:55 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,21-Feb-2026,"INR 168,842",30.0,RANJAN KUMAR MARTHA,24-Feb-2026 05:13 PM,643.pdf (680.00 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3325671,Banamali Behera,24-Dec-2025 12:25 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3333250,Birendra Kumar Sahoo,28-Dec-2025 10:05 AM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3333448,HARISHCHANDRA SAHOO,28-Dec-2025 11:59 AM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3326563,KAUSTAVA MANI RAUL,24-Dec-2025 04:45 PM,Accepted-AOC,L1,24-Feb-2026 05:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3330987,KHELANIDHI PRADHAN,27-Dec-2025 07:57 AM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3332383,Lilabati Meher,27-Dec-2025 06:42 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3334639,lilima biswal,28-Dec-2025 07:47 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3335018,MAMATA PRADHAN,28-Dec-2025 10:02 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3334930,NATABARA MEHER,28-Dec-2025 09:32 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:09 PM,,,,,,,AOC
