Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,Forty two bids downloaded successfully.,SUBRAT PATNAIK,24-Dec-2025 02:45 PM,,BOQ Comparative Chart,1.0,3321959.0,Brajamohan Palo,INR,"4,068,108","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",2025_CEBMB_122990_28,e-BEID-02/2025-26,Renovation of Mandia Bandha at Satapandia village under RIS.,1,3323170,ABHIMANYU RAUTA,22-Dec-2025 04:22 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,14-Feb-2026,"INR 4,068,108",90.0,SUBRAT PATNAIK,17-Feb-2026 02:56 PM,AOC_28.pdf (169.00 KB),Award to the Lottery Winner,Subrat Kumar Patnaik,Internal,,Nandini Devi,09-Jan-2026 11:51 AM,techsummary_571462.pdf (236.54 KB),Subrat Kumar Patnaik,Internal,,Nandini Devi,17-Jan-2026 12:14 PM,finsummary_571462.pdf (236.54 KB),AOC,"47,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN",Renovation of Mandia Bandha at Satapandia village under RIS.,Renovation of irr. tank,Please refer Tender documents. ,NA ,"47,85,000",Civil Works - Others,NA ,Tender,90.0,90.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Berhampur Irr. Division, Berhampur",No ,No,"6,000",0.0,Nil,Nil,No,"S.E., Berhampur Irr. Division, Berhampur","S.E., Berhampur Irr. Division, Courtpeta, Berhampur","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",e-BEID-02/2025-26,2025_CEBMB_122990_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,12-Dec-2025 10:00 AM,23-Dec-2025 11:00 AM,12-Dec-2025 10:00 AM,22-Dec-2025 05:30 PM,12-Dec-2025 10:00 AM ,18-Dec-2025 03:30 PM ,12-Dec-2025 10:00 AM,22-Dec-2025 05:30 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3321744,Ajit Kumar Sahu,22-Dec-2025 11:35 AM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3319408,Akash Dalai,22-Dec-2025 12:58 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3322645,Amita Kumar Sahu,22-Dec-2025 02:29 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3322387,Anil Sethi,22-Dec-2025 01:42 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3323339,ANKITA KUMAR JENA,22-Dec-2025 05:21 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3322033,Aswin Kumar Mahankuda,22-Dec-2025 04:00 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3322525,BATA KRUSHNA PADHI,22-Dec-2025 02:04 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3322073,BHAGABAN MANDAL,22-Dec-2025 12:46 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3322933,BHIKARI CHARAN JENA,22-Dec-2025 04:48 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
