S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3282612.0,PURNIMA PARIDA,INR,"1,368,197",Finance,Technical Evaluation Committee,Chittaranjan Mishra,06-Feb-2026 06:40 PM,finance_566624.pdf,BOQ Comparative Chart,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,06-Feb-2026 06:49 PM,finsummary_566624.pdf (3962.83 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_121873_1,TENDERONLINEDNAYAGARH62526,S/R to NH-5 to Gourachandrapur road such as Pothole repair and PMC with SC for the year 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,06-Feb-2026 06:47 PM,techsummary_566624.pdf (3962.83 KB),06-Feb-2026,"INR 1,368,197",60.0,Chittaranjan Mishra,06-Feb-2026 06:53 PM,815.pdf (497.00 KB),180P1 OF 2025-26,1,3281858,AKHILA KUMAR SUNDARA,05-Dec-2025 02:37 PM,Rejected-AOC,L1,06-Feb-2026 06:53 PM,AOC,"6,000",0.0,Nil,Nil,No,"16,095",Yes,percentage,1.0%,Nil,Nil,S/R to NH-5 to Gourachandrapur road such as Pothole repair and PMC with SC for the year 2025-26,S/R to NH-5 to Gourachandrapur road such as Pothole repair and PMC with SC for the year 2025-26,NA ,NA ,"16,09,454",Civil Works - Roads,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH62526,2025_CERWI_121873_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Nov-2025 02:05 PM,06-Dec-2025 11:00 AM,24-Nov-2025 02:05 PM,05-Dec-2025 05:30 PM,24-Nov-2025 02:05 PM ,05-Dec-2025 05:30 PM ,24-Nov-2025 02:05 PM,05-Dec-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3281558,ARUN KUMAR PRADHAN,05-Dec-2025 01:37 PM,Rejected-AOC,L1,06-Feb-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3282397,DHRUBA CHARANA PARIDA,05-Dec-2025 04:09 PM,Rejected-AOC,L1,06-Feb-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3281292,JP CONSTRUCTION,05-Dec-2025 03:28 PM,Rejected-AOC,L1,06-Feb-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3282612,PURNIMA PARIDA,05-Dec-2025 04:51 PM,Accepted-AOC,AOC,06-Feb-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3272993,SANTOSH KUMAR BEHERA,03-Dec-2025 10:19 AM,Rejected-AOC,L1,06-Feb-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3278359,TUSAR KUMAR JENA,04-Dec-2025 01:40 PM,Rejected-AOC,L1,06-Feb-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
