Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Superintending Engineer,"R.W.Division, Jharsuguda",1,ICICI BANK,"10,000",0.0,Nil,Nil,No,S/R to N.H.-200 to Katapali road for the year 2025-26.,S/R to N.H.-200 to Katapali road for the year 2025-26.,Please refer Tender documents. ,NA ,"54,16,488",Civil Works - Roads,NA ,Tender,90.0,120.0,Jharsuguda,768204.0,NA ,NA ,NA ,"R.W.Division, Jharsuguda",No ,No,19-Nov-2025 01:00 PM,26-Nov-2025 11:00 AM,19-Nov-2025 01:00 PM,25-Nov-2025 05:00 PM,19-Nov-2025 01:00 PM ,21-Nov-2025 05:00 PM ,19-Nov-2025 01:00 PM,25-Nov-2025 05:00 PM,06-Dec-2025 11:30 AM,1,Fee/PreQual/Technical,.pdf,"Registration Certificate, PAN,GSTN No. EMD, Affidavit Online Cost of tender paper etc. as per DTCN","54,165",Yes,percentage,1.0%,Nil,Nil,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,Online - SEJSG 09 of 2025-26,2025_CERWI_121481_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,20-Dec-2025 12:39 PM,finsummary_565158.pdf (25.84 KB),Technical,Accepted,Pratima Naik,05-Dec-2025 04:20 PM,,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,2025_CERWI_121481_1,Online - SEJSG 09 of 2025-26,S/R to N.H.-200 to Katapali road for the year 2025-26.,1.0,3245939.0,BHAWANI SANKAR DHAR,INR,"4,604,557",1,3245939,BHAWANI SANKAR DHAR,23-Nov-2025 10:35 PM,Accepted-AOC,Successful,23-Feb-2026 01:06 PM,26-Dec-2025,"INR 4,604,557",120.0,Ashish Kumar Lenka,23-Feb-2026 01:06 PM,5073.pdf (949.00 KB),Work order for the work S/R to N.H.-200 to Katapali road for the year 2025-26.,Finance,Accepted,Pratima Naik,06-Dec-2025 12:01 PM,finance_565158.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Binod Bihari Chhuria,06-Dec-2025 11:28 AM,06-Dec-2025 11:30 AM,techsummary_565158.pdf (899.11 KB),AOC
,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3246238,MAHESH AGRAWAL,22-Nov-2025 01:19 PM,Rejected-AOC,Unsuccessful,23-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
