Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
"SE,Telengiri Canal Division,Ambaguda",Internal,Divisional Accountant and Estimator,Bikash Ranjan Pradhan,11-Dec-2025 02:04 PM,techsummary_562048.pdf (347.41 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,2025_TCDA_120861_1,SE-TCD-02/2025-26(6),Providing RCC Canal Trough in Between RD 1400 mtr to 1550 mtr Of Ratali Sub minor 1 EX RD 7642 mtr Of Rampatraput Ratali Disty Of TMIP,1.0,3218745.0,BASANTA KUMAR TRIPATHY,INR,"1,111,400",1,3218745,BASANTA KUMAR TRIPATHY,15-Nov-2025 02:05 PM,Accepted-AOC,Being qualified in transparent lottery process,13-Feb-2026 11:07 PM,Finance,Bid Opening summary,Bikash Ranjan Pradhan,10-Dec-2025 02:46 PM,finance_562048.pdf,BOQ Comparative Chart,"SE,Telengiri Canal Division,Ambaguda",Internal,Divisional Accountant and Estimator,Bikash Ranjan Pradhan,11-Dec-2025 02:53 PM,finsummary_562048.pdf (680.33 KB),14-Feb-2026,"INR 1,111,400",60.0,Bikash Ranjan Pradhan,13-Feb-2026 11:06 PM,AOCRATALI.pdf (548.00 KB),Work order,AOC,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,SE-TCD-02/2025-26(6),2025_TCDA_120861_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Nov-2025 11:00 AM,17-Nov-2025 12:30 PM,06-Nov-2025 11:00 AM,15-Nov-2025 05:30 PM,NA ,NA ,06-Nov-2025 11:00 AM,15-Nov-2025 05:30 PM,Providing RCC Canal Trough in Between RD 1400 mtr to 1550 mtr Of Ratali Sub minor 1 EX RD 7642 mtr Of Rampatraput Ratali Disty Of TMIP,Canal Structure Works,Please refer Tender documents. ,NA ,"13,07,376",Civil Works - Canal,NA ,Tender,90.0,60.0,Ambaguda,764055.0,NA ,NA ,NA ,"SE,Telengiri Canal Division Ambaguda",No ,No,"Superintending Engineer,T.C Division Ambaguda","Office of Superintending Engineer,Telengiri Canal Division Ambaguda","6,000",Nil,Nil,No,"13,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost,EMD,GSTIN,PAN,Contractor RC",AOC
,,,,,,,,,,,,,,,2,3227799,BHUBANESWAR KHATI,15-Nov-2025 03:51 PM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit,Undertaking and any other document as per DTCN",AOC
,,,,,,,,,,,,,,,3,3226445,BRUNDABAN BHARATI,15-Nov-2025 08:50 AM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,4,3210077,GANESH PRASAD PATTNAYAK,10-Nov-2025 10:00 PM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3200512,GITANJALI SATAPATHY,09-Nov-2025 07:23 PM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3227625,LABANYA KUMAR MALICK,15-Nov-2025 03:14 PM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3225999,LACHHMAN BALAJI TRIPATHI,15-Nov-2025 11:16 AM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3226438,NARENDRA BHARATI,15-Nov-2025 09:00 AM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3224410,Nrusingh Charan Pattnaik,14-Nov-2025 10:19 PM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3227473,SRIKUMAR BISWAS(S.C),15-Nov-2025 04:25 PM,Rejected-Finance,Disqualified in Transparent Lottery system.,11-Dec-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
