Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,ok,Nilakantha Kisan,29-Jan-2026 12:13 PM,finance_574756.pdf,BOQ Comparative Chart,19-Feb-2026,"INR 1,900,000",120.0,Nilakantha Kisan,19-Feb-2026 12:50 PM,14.pdf (245.00 KB),1.0,3359557.0,BIBHUTI PRASAD RANA,19-Jan-2026 01:13 PM,Accepted-AOC,Tender finalised through transparent lottery system drawn among L1 bidders and winner of lottery,19-Feb-2026 12:50 PM,1.0,3359557.0,BIBHUTI PRASAD RANA,INR,"1,900,000",Municipal Bodies||Belpahar Municipal Council,2026_ORULB_124268_14,EO/BPHM/05/25-26,Construction of BT Road From Ananda Sahu House to Welcome Gate in ward no-12,Nimar Charan Panda,Internal,,Nilakantha Kisan,19-Feb-2026 12:38 PM,techsummary_574756.pdf (258.63 KB),Nimar Charan Panda,Internal,,Nilakantha Kisan,19-Feb-2026 12:43 PM,finsummary_574756.pdf (258.63 KB),AOC,Construction of BT Road From Ananda Sahu House to Welcome Gate in ward no-12,Construction of BT Road From Ananda Sahu House to Welcome Gate in ward no-12,Please refer Tender documents. ,NA ,"19,00,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,08-Jan-2026 10:00 AM,20-Jan-2026 11:00 AM,08-Jan-2026 10:00 AM,19-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 10:00 AM,19-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,1.0,ICICI BANK,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,Municipal Bodies||Belpahar Municipal Council,EO/BPHM/05/25-26,2026_ORULB_124268_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"19,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,2.0,3358674.0,M/S SASWAT ENTERPRISES,18-Jan-2026 01:22 PM,Rejected-AOC,Not win the lottery,19-Feb-2026 12:50 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
