S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3343642.0,PRATAP KUMAR MUDULI,INR,"1,500,000",Municipal Bodies||Rajgangpur Municipality,2025_ORULB_123659_39,EO/RGP/05 of 2025-26,"Construction of B.T. Road from G Minz House towards Canal, Ward No.10",1,3344263,BHARAT CONSTRUCTION,05-Jan-2026 12:21 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,05-Feb-2026,"INR 1,500,000",90.0,Gobinda Dansena,05-Feb-2026 05:47 PM,39.pdf (832.00 KB),Finance,OK,Gobinda Dansena,05-Feb-2026 05:34 PM,finance_573123.pdf,BOQ Comparative Chart,Madhuri Lugun,Internal,,Gobinda Dansena,05-Feb-2026 05:44 PM,finsummary_573123.pdf (1038.47 KB),Madhuri Lugun,Internal,,Gobinda Dansena,05-Feb-2026 05:40 PM,techsummary_573123.pdf (1038.47 KB),AOC,Municipal Bodies||Rajgangpur Municipality,EO/RGP/05 of 2025-26,2025_ORULB_123659_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,"Construction of B.T. Road from G Minz House towards Canal, Ward No.10","Construction of B.T. Road from G Minz House towards Canal, Ward No.10",Please refer Tender documents ,NA ,"15,00,000",Civil Works - Others,NA ,Tender,90.0,90.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality Office,No ,No,24-Dec-2025 11:00 AM,07-Jan-2026 11:00 AM,24-Dec-2025 11:00 AM,06-Jan-2026 04:00 PM,NA ,NA ,24-Dec-2025 11:00 AM,06-Jan-2026 04:00 PM,"Executive Officer, Rajgangpur Municipality","Executive Officer, Rajgangpur Municipality, Dist-Sundargarh","15,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,3345433,BHARAT TANTY,05-Jan-2026 05:13 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3346778,DEVESH AGRAWAL,06-Jan-2026 03:13 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3346732,DEVI PRASAD DASH,06-Jan-2026 02:25 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3345933,EVA PRATIMA XALXO,05-Jan-2026 07:28 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3346355,GITANJALI MINZ,06-Jan-2026 11:28 AM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3342552,KHALSA CONSTRUCTION,02-Jan-2026 04:21 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3346059,MD KALAM NIRBAN,05-Jan-2026 09:21 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3346285,MUNA SAW,06-Jan-2026 11:03 AM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3344000,NELIMA HARSHITA TOPPO,05-Jan-2026 12:42 PM,Rejected-AOC,Rejected,05-Feb-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
