Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",1,ICICI BANK,Construction of Paver Road from Karakhai to Soli house house in ward No.28.,Construction of Paver Road from Karakhai to Soli house house in ward No.28.,Please refer Tender documents. ,NA ,"5,30,279",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC","5,400",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_75,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,AOC,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,25-Feb-2026 04:50 PM,finsummary_536386.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,25-Feb-2026 04:49 PM,techsummary_536386.pdf (240.28 KB),25-Feb-2026,"INR 530,279",90.0,Sourav Chakrabarty,25-Feb-2026 04:52 PM,75.pdf (520.00 KB),work order issued,Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_75,BM-BDK-01-2025-26,Construction of Paver Road from Karakhai to Soli house house in ward No.28.,1.0,2892653.0,RANJEET BEHERA,INR,"530,279",1,2896788,Padan Majhi,27-Apr-2025 04:34 PM,Rejected-AOC,Quoted second lowest,25-Feb-2026 04:52 PM,Finance,ok,TAPASA KUMAR SAMAL,01-May-2025 01:53 PM,,BOQ Comparative Chart,AOC
,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2892653,RANJEET BEHERA,26-Apr-2025 10:52 AM,Accepted-AOC,Quoted first lowest,25-Feb-2026 04:52 PM,,,,,,,AOC
