EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"11,75,000",Yes,fixed,,Nil,Nil,MD OLIC,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,"Installatin, Electrification, Energisation and Commissioning of Borewells in GANJAM District Pkg-05 BID ID-59","Installatin, Electrification, Energisation and Commissioning of Borewells in GANJAM District Pkg-05 BID ID-59",Please refer Tender Document DTCN ,NA ,"11,74,61,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,730.0,180.0,GANJAM,761026.0,NA ,NA ,NA ,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,No ,No,12-Feb-2025 10:00 AM,11-Mar-2025 11:00 AM,12-Feb-2025 10:00 AM,10-Mar-2025 05:00 PM,12-Feb-2025 10:00 AM ,25-Feb-2025 05:00 PM ,12-Feb-2025 10:00 AM,10-Mar-2025 05:00 PM,07-Jul-2025 11:00 AM,"11,800",0.0,Nil,Nil,Yes,1,ICICI BANK,Orissa Lift Irrigation Corporation,1118 DT-10.02.2025,2025_OLIC_110422_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",AOC,14-Oct-2025,"INR 126,857,529.86",180.0,Sudarsan Sadangi,26-Feb-2026 01:28 PM,OrderGanjam05.pdf (469.00 KB),ORDER,MD OLIC LTD,Internal,"FA-CUM-CAO DOWR, FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, REP. OF DIRECTOR GWD, EE (MP) OLIC",Sudarsan Sadangi,14-Oct-2025 11:24 AM,finsummary_529545.pdf (17372.14 KB),Technical,Two nos of bidders have participated,Sudarsan Sadangi,12-Mar-2025 01:11 PM,,1,2847368,"m s mahabir borewell and equipments, prop.padmalava mallick",10-Mar-2025 11:49 AM,Accepted-AOC,L-1 Bidder,26-Feb-2026 01:28 PM,Finance,Two nos of bidders have participated,Sudarsan Sadangi,07-Jul-2025 08:14 PM,,BOQ Comparative Chart,1.0,2847368.0,"m s mahabir borewell and equipments, prop.padmalava mallick",INR,"126,857,529.86",Orissa Lift Irrigation Corporation,2025_OLIC_110422_4,1118 DT-10.02.2025,"Installatin, Electrification, Energisation and Commissioning of Borewells in GANJAM District Pkg-05 BID ID-59",CE MECH DOWR,External,"FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, ADDL. DIRECTOR GWD, EE (ELECT.) OLIC, EE (MP) OLIC",Sudarsan Sadangi,02-Jul-2025 06:45 PM,07-Jul-2025 11:00 AM,techsummary_529545.pdf (12490.21 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,2,2847058,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,10-Mar-2025 02:51 PM,Rejected-Finance,Rejected by Tender Committee,14-Oct-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
