Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
MD OLIC LTD,Internal,"FA-CUM-CAO DOWR, FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, REP. OF DIRECTOR GWD, EE (MP) OLIC",Sudarsan Sadangi,15-Oct-2025 12:08 PM,finsummary_527387.pdf (17372.14 KB),15-Oct-2025,"INR 162,749,045.58",180.0,Sudarsan Sadangi,26-Feb-2026 12:23 PM,OrderKoraput03.pdf (424.00 KB),ORDER,1,2832150,"M/S JAGRUTI BOREWELLS, Prop. JASPAL SINGH",24-Feb-2025 04:40 PM,Accepted-AOC,L-1 Bidder,26-Feb-2026 12:24 PM,Technical,Two nos of bidders have participated,Sudarsan Sadangi,25-Feb-2025 05:36 PM,,Finance,Two nos of bidders have participated,Sudarsan Sadangi,07-Jul-2025 04:12 PM,,BOQ Comparative Chart,Orissa Lift Irrigation Corporation,2025_OLIC_109845_5,816 DT-27.01.2025,"Installatin, Electrification, Energisation and Commissioning of Borewells in KORAPUT District Pkg-03 BID ID-25",1.0,2832150.0,"M/S JAGRUTI BOREWELLS, Prop. JASPAL SINGH",INR,"162,749,045.58",CE MECH DOWR,External,"FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, ADDL. DIRECTOR GWD, EE (ELECT.) OLIC, EE (MP) OLIC",Sudarsan Sadangi,02-Jul-2025 03:41 PM,07-Jul-2025 11:00 AM,techsummary_527387.pdf (12490.21 KB),AOC,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN","Installatin, Electrification, Energisation and Commissioning of Borewells in KORAPUT District Pkg-03 BID ID-25","Installatin, Electrification, Energisation and Commissioning of Borewells in KORAPUT District Pkg-03 BID ID-25",Please refer Tender Document DTCN ,NA ,"16,27,65,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,730.0,180.0,KORAPUT,764020.0,NA ,NA ,NA ,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,No ,No,"16,28,000",Yes,fixed,,Nil,Nil,Orissa Lift Irrigation Corporation,816 DT-27.01.2025,2025_OLIC_109845_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,30-Jan-2025 10:00 AM,25-Feb-2025 11:00 AM,30-Jan-2025 10:00 AM,24-Feb-2025 05:00 PM,30-Jan-2025 10:00 AM ,11-Feb-2025 05:00 PM ,30-Jan-2025 10:00 AM,24-Feb-2025 05:00 PM,07-Jul-2025 11:00 AM,"11,800",0.0,Nil,Nil,Yes,MD OLIC,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,AOC
,,,,,,,,,,,,,2,2831064,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,24-Feb-2025 12:04 PM,Rejected-Finance,Rejected by Tender Committee,15-Oct-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
