EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"46,610",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,15-Nov-2025 10:00 AM,21-Nov-2025 11:00 AM,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,NA ,NA ,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender cost EMD GSTIN PAN Contractor RC Affidavits undertaking and any other documents as per DTCN,PWD road to Nalipada Arjunpur road,PWD road to Nalipada Arjunpur road,Please refer tender documents ,NA ,"46,61,000",Civil Works - Roads,NA ,Tender,90.0,60.0,SE R.W. Div. BBSR,751013.0,NA ,NA ,NA ,O/o SE RW Div. BBSR,No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 25/2025-26,2025_CERWI_121260_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,O/o the SE RWD BBSR,O/O the SE RWD BBSR,AOC,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,25-Feb-2026 03:33 PM,finsummary_564337.pdf (870.03 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_121260_9,Tender Online Divn. BBSR - 25/2025-26,PWD road to Nalipada Arjunpur road,1.0,3241373.0,PRAMESH KUMAR SWAIN,INR,"3,961,563",Finance,10 nos of bidder are participated,Shrabani Routray,22-Nov-2025 12:01 PM,,BOQ Comparative Chart,1,3239759,BIBHU PRASAD BEHERA,19-Nov-2025 10:02 PM,Rejected-Finance,Quoted rate at CSR,25-Feb-2026 03:33 PM,25-Feb-2026,"INR 3,961,563",60.0,Nirmal Chandra Jena,25-Feb-2026 03:37 PM,PDF420.pdf (228.00 KB),AoC,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,25-Feb-2026 03:28 PM,techsummary_564337.pdf (870.03 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3236064,GOPAL CHANDRA PAIKARAY,19-Nov-2025 04:04 PM,Rejected-Finance,Quoted rate at CSR,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3238442,LAXMIKANTA JENA,19-Nov-2025 03:28 PM,Rejected-Finance,Quoted rate at CSR,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3241165,MANORANJAN DALEI,20-Nov-2025 01:03 PM,Rejected-Finance,Not success In lottery,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3241373,PRAMESH KUMAR SWAIN,20-Nov-2025 01:35 PM,Accepted-AOC,L1 Bidder,25-Feb-2026 03:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3240476,RAJENDRA KUMAR MAHALI,20-Nov-2025 10:47 AM,Rejected-Finance,Quoted rate at CSR,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3235790,SAMARESH CHHOTARAY,18-Nov-2025 04:17 PM,Rejected-Finance,Not success In lottery,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3236087,SATYAPRIYA PAIKARAY,19-Nov-2025 03:51 PM,Rejected-Finance,Quoted rate at CSR,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3242321,SOMESH KUMAR SAHOO,20-Nov-2025 04:48 PM,Rejected-Finance,Not success In lottery,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3240635,ZIAUR RAHEMAN KHAN,20-Nov-2025 11:18 AM,Rejected-Finance,Quoted rate at CSR,25-Feb-2026 03:33 PM,,,,,,,,,,,,,,AOC
