S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3288556.0,SANDEEP KUMAR MAHAPATRA,INR,"1,080,636.25",Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,02-Feb-2026 04:17 PM,finsummary_567882.pdf (1456.27 KB),Technical,Tender opened by Tender Committee,Nihar Ranjan Behera,09-Dec-2025 01:42 PM,,Municipal Bodies||Odagaon NAC,2025_ORULB_122183_1,NAC-ODG-05/2025-26,"Construction of CC Road, Drain, Culvert From transformer To Rama Palei House in Ward No-15 of NAC Odagaon",Finance,Tender Opened by Tender Committee,Nihar Ranjan Behera,12-Dec-2025 12:52 PM,,BOQ Comparative Chart,Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,12-Dec-2025 11:54 AM,12-Dec-2025 12:00 PM,techsummary_567882.pdf (951.53 KB),1,3289753,AMRIT PRIYADARSHAN PANDA,08-Dec-2025 04:08 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,02-Feb-2026,"INR 1,080,636.25",60.0,Nihar Ranjan Behera,02-Feb-2026 04:21 PM,39.pdf (368.00 KB),AOC,Municipal Bodies||Odagaon NAC,NAC-ODG-05/2025-26,2025_ORULB_122183_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"License, Aadhar, PAN etc.",1.0,ICICI BANK,"12,800",Yes,fixed,,Nil,Nil,01-Dec-2025 11:00 AM,09-Dec-2025 11:00 AM,01-Dec-2025 11:00 AM,08-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,08-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,08-Dec-2025 05:00 PM,12-Dec-2025 12:00 PM,EXECUTIVE OFFICER,"NAC Office, Odagaon, Nayagarh, Pin-752081","Construction of CC Road, Drain, Culvert From transformer To Rama Palei House in Ward No-15 of NAC Odagaon","Construction of CC Road, Drain, Culvert From transformer To Rama Palei House in Ward No-15 of NAC Odagaon",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,60.0,NAC ODAGAON,752081.0,NA ,NA ,NA ,NAC ODAGAON,No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3288640,DILLIP KUMAR PADHI,08-Dec-2025 01:27 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3288164,JOCHANARANI PATI,08-Dec-2025 12:02 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3289942,K SATYAJIT SENAPATI,08-Dec-2025 04:36 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3287848,MAMATA PATRA,08-Dec-2025 10:33 AM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3288931,PANU SETHI,08-Dec-2025 03:41 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3290006,PRAMOD KUMAR DORA,08-Dec-2025 04:46 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3289379,PRAVATI SAHOO,08-Dec-2025 03:35 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3286401,PRITAM PATRA,07-Dec-2025 05:23 PM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3288024,PRIYARANJAN BHATTA,08-Dec-2025 11:23 AM,Rejected-Finance,As per Evaluation,02-Feb-2026 04:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
