S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"74,800",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",05/BGR/2025-26,2025_CEMIB_122431_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,03-Dec-2025 10:00 AM,15-Dec-2025 10:00 AM,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,18-Dec-2025 05:40 PM,Construction of Dunguripali-II Check Dam in Belpada Block of Balangir District under the scheme MATY 3.0 for the year 2025-26,Construction of Dunguripali-II Check Dam in Belpada Block of Balangir District under the scheme MATY 3.0 for the year 2025-26,Please refer Tender documents. ,NA ,"74,78,287",Civil Works - Water Works,NA ,Tender,90.0,120.0,Belpada,767016.0,NA ,NA ,NA ,"O/o the SE, M.I. Division,Balangir",No ,No,"SE, M.I. Division,Balangir","O/o the SE, M.I. Division,Balangir",1.0,Fee/PreQual/Technical,.pdf,"Valid RC, valid GST, Valid PAN, Affidavit, NRC, Tender Cost, EMD, any other documents as per DTCN",AOC,Technical,RN SETHI,Rabindranath Sethi,18-Dec-2025 05:30 PM,technical_568851.pdf,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",2025_CEMIB_122431_6,05/BGR/2025-26,Construction of Dunguripali-II Check Dam in Belpada Block of Balangir District under the scheme MATY 3.0 for the year 2025-26,RN SETHI,Internal,,Rabindranath Sethi,05-Feb-2026 07:18 PM,finsummary_568851.pdf (347.02 KB),1.0,3275972.0,umang singhal,INR,"7,501,604",24-Feb-2026,"INR 7,501,604",120.0,Rabindranath Sethi,24-Feb-2026 03:46 PM,dunguripali.pdf (212.00 KB),1,3297520,ABHIJEET MANDAL,12-Dec-2025 04:13 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,RN SETHI,Internal,,Rabindranath Sethi,18-Dec-2025 05:35 PM,18-Dec-2025 05:40 PM,techsummary_568851.pdf (321.25 KB),Finance,RN SETHI,Rabindranath Sethi,05-Feb-2026 04:58 PM,finance_568851.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3292085,Abhimanyu Kuanr,11-Dec-2025 06:48 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3297046,ABHISEK MEHER,12-Dec-2025 11:59 AM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3297952,AMAN BANSAL,12-Dec-2025 03:40 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3296298,BIJAYA KUMBHAR,12-Dec-2025 02:15 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3295631,CHETAK CHARAN RANA,11-Dec-2025 03:28 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3295801,CH SUBASH CHANDRA PATRO,12-Dec-2025 03:54 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3297961,DEBABRATA BRAHMA,12-Dec-2025 03:31 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3291330,DIPAK KUMAR AGRAWAL,09-Dec-2025 12:58 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3298084,DOLAMANI BIBHAR,12-Dec-2025 04:03 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3283828,GHANASHYAM SAHU,06-Dec-2025 12:13 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3296503,GITANJALI PADHAN,12-Dec-2025 11:30 AM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3295897,HARAPRASAD SAHU,11-Dec-2025 08:33 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3294905,KALYANI SIPKA,12-Dec-2025 09:32 AM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3296155,KANHU KUMAR AGRAWAL,11-Dec-2025 09:44 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3292240,KAPIL KUMAR JAIN,10-Dec-2025 07:12 PM,Rejected-Finance,Rejected,05-Feb-2026 07:18 PM,,,,,,,,,,,,,,AOC
