Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
S K Behera,Internal,"S K JENA, A.S. SWAIN, D. MALIK",Sunil Kumar Behera,20-Jan-2026 05:36 PM,techsummary_571878.pdf (1709.57 KB),1.0,3326255.0,DILIP KUMAR BARAL,INR,"1,729,063.47",Odisha Tourism Devl. Corp.,2025_OTDC_123276_1,BP-I/23/2025-26 Dt. 29.11.2025,Repair and Renovation of Way Side Amenity Centre at Boudh in Boudh Dist.,1,3317260,BISWOJIT PATTANAIK,20-Dec-2025 04:23 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,10-Feb-2026 04:55 PM,10-Feb-2026,"INR 1,729,063.47",30.0,Subrat Kumar Jena,10-Feb-2026 05:00 PM,boudh.PDF (115.00 KB),work order,Finance,BIDDERS,Subrat Kumar Jena,18-Jan-2026 02:50 PM,finance_571878.pdf,BOQ Comparative Chart,S.K. Behera,Internal,S.k Jena. A.S Swain,Subrat Kumar Jena,10-Feb-2026 04:55 PM,finsummary_571878.pdf (95.02 KB),AOC,Odisha Tourism Devl. Corp.,BP-I/23/2025-26 Dt. 29.11.2025,2025_OTDC_123276_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"20,340",Yes,fixed,,Nil,Nil,Repair and Renovation of Way Side Amenity Centre at Boudh in Boudh Dist.,Repair and Renovation of Way Side Amenity Centre at Boudh in Boudh Dist.,As per DTCN ,NA ,"20,34,000",Civil Works - Buildings,NA ,Tender,180.0,30.0,Boudh,762014.0,NA ,NA ,NA ,"O/o The Superintending Engineer, OTDC Ltd. BBSR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000","1,080",Nil,Nil,No,1.0,ICICI BANK,1.0,Repair and Renovation of Way Side Amenity Centre at Boudh in Boudh Dist.,Date,,"Superintending Engineer, OTDC Ltd. BBSR","O/o The Superintending Engineer, OTDC Ltd. BBSR",16-Dec-2025 02:15 PM,26-Dec-2025 11:30 AM,16-Dec-2025 02:15 PM,24-Dec-2025 05:00 PM,16-Dec-2025 02:15 PM ,21-Dec-2025 05:00 PM ,16-Dec-2025 02:15 PM,24-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3326255,DILIP KUMAR BARAL,24-Dec-2025 03:06 PM,Accepted-AOC,Successful bidder in Transparent lottery System,10-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3319676,EASTGROW TRADERS,20-Dec-2025 06:00 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,10-Feb-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3326211,MS Shree Shyam and Co,24-Dec-2025 04:32 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,10-Feb-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3324626,M/S SILICON INTERIORS,23-Dec-2025 03:06 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,10-Feb-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3321176,SRI RABI NARAYAN SAHOO,24-Dec-2025 11:05 AM,Rejected-Finance,Unsuccessful Bidder,10-Feb-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3318742,Sumit Agrawal,22-Dec-2025 04:21 PM,Rejected-AOC,Unsuccessful bidder in Transparent lottery System,10-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
