Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director(HR),Internal,"CGM(Finance), GM(CP), Advisor(Legal), GM(Exploration)",Nandini Nibedita Pal,01-Feb-2025 12:53 PM,03-Feb-2025 04:00 PM,techsummary_503159.pdf (1420.37 KB),1,2543893,ARKITECHNO Consultants (India) Pvt. Ltd.,10-Sep-2024 02:40 PM,Rejected-Technical,Techno-commercially Disqualified,01-Feb-2025 12:53 PM,Orissa Mining Corporation,2024_OMC_103737_4,OMC/e-Proc/CP/010/2024-25 Dated 11.07.2024,"Empanelment of Agencies on Rate Contract basis for providing Geological Services of mineral blocks across the State of Odisha, India (Preparation of Geological Reports)",Director(HR),Internal,"CGM(Fin), Advisor(Legal),GM(CP), GM(Exploration)",Nandini Nibedita Pal,04-Feb-2026 03:57 PM,finsummary_503159.pdf (6282.86 KB),Technical,Technical opening summary,Nandini Nibedita Pal,19-Sep-2024 12:21 PM,technical_503159.pdf,1.0,2543558.0,geo consultants private limited,INR,"35,553,400",Finance,Financial opening summary,Nandini Nibedita Pal,04-Feb-2025 11:40 AM,finance_503159.pdf,BOQ Comparative Chart,04-Feb-2026,"INR 35,553,400",1095.0,Nandini Nibedita Pal,04-Feb-2026 04:01 PM,LOAReport.pdf (890.00 KB),Awarded for the work including GST,AOC,1.0,Corrigendum 3,BOQ,,Orissa Mining Corporation,OMC/e-Proc/CP/010/2024-25 Dated 11.07.2024,2024_OMC_103737_4,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"Empanelment of Agencies on Rate Contract basis for providing Geological Services of mineral blocks across the State of Odisha, India (Preparation of Geological Reports)","Empanelment of Agencies on Rate Contract basis for providing Geological Services of mineral blocks across the State of Odisha, India (Preparation of Geological Reports)",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Empanelment,180.0,1095.0,"OMC Ltd., Bhubaneswar",751001.0,Through VC ,Through VC ,31-Jul-2024 03:30 PM ,"OMC Ltd., OMC House, Bhubaneswar",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"PAN,GSTIN AND OTHER DOCUMENTS AS PER DTCN","1,05,000",Yes,fixed,,Nil,Nil,Head(Contract and Procurement),"OMC Ltd., OMC House, Bhubaneswar","5,900",0.0,Nil,Nil,Yes,18-Jul-2024 06:00 PM,17-Sep-2024 05:00 PM,18-Jul-2024 06:00 PM,17-Sep-2024 03:00 PM,18-Jul-2024 06:00 PM ,26-Jul-2024 05:00 PM ,18-Aug-2024 11:00 AM,17-Sep-2024 03:00 PM,03-Feb-2025 04:00 PM,AOC
,,,,,,,2,2538100,BMRC GEOMINING SOLUTIONS PRIVATE LIMITED,10-Sep-2024 12:34 PM,Rejected-Technical,Withdrawal of bid,01-Feb-2025 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Corrigendum 7,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,ANY OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,2537357,CRACKERS INDIA MINING PVT LTD,29-Aug-2024 05:42 PM,Rejected-Technical,Techno-commercially Disqualified,01-Feb-2025 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Revised Corrigendum 5,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,2543558,geo consultants private limited,10-Sep-2024 02:44 PM,Accepted-AOC,Awarded for the work including GST,04-Feb-2026 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,RATE OF GST,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,2536629,KARTIKAY EXPLORATION AND MINING SERVICES PVT LTD,10-Sep-2024 01:54 PM,Rejected-Finance,Not agreed to accept the final price of L1 Vendor,04-Feb-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,2542330,Maheshwari Mining Pvt. Ltd.,10-Sep-2024 01:19 PM,Rejected-Finance,Not agreed to accept the final price of L1 Vendor,04-Feb-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,2543268,Mining Associates Private Limited,10-Sep-2024 12:47 PM,Rejected-Finance,Not agreed to accept the final price of L1 Vendor,04-Feb-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,2536353,OGPEX GEOSCIENCE (OPC) PRIVATE LIMITED,30-Aug-2024 02:08 PM,Rejected-Technical,Techno-commercially Disqualified,01-Feb-2025 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,2537353,South West Pinnacle Exploration Limited,10-Sep-2024 02:43 PM,Rejected-Finance,Not agreed to accept the final price of L1 Vendor,04-Feb-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,2537376,STEIGER GEOSCIENCE AND ENGINEERING PRIVATE LIMITED,05-Sep-2024 12:58 PM,Rejected-Finance,Not agreed to accept the final price of L1 Vendor,04-Feb-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
