Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Soro Municipality,SOROM_07_2025-26,2026_ORULB_125887_56,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,1.0,Correction in DTCN,Other,,18-Feb-2026 10:00 AM,26-Feb-2026 10:00 AM,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,NA ,NA ,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,"Executive Officer, soro Municipality","Executive Officer, soro Municipality","2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN Card, Valid registration certificate, Affidavits and as per DTCN",Open Space Development with Seating Benches at Tundapada Play Ground in Ward No.-16,Development Work,Please refer to the tender document ,NA ,"3,05,085",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,"3,051",Yes,fixed,,Nil,Nil,AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,30-May-2026 11:19 AM,finsummary_581230.pdf (440.66 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,27-May-2026 10:28 AM,techsummary_581230.pdf (440.66 KB),1,3410050,MANOJ KUMAR PATRA,25-Feb-2026 12:39 PM,Rejected-Finance,L2,30-May-2026 11:19 AM,1.0,3410099.0,Nirod Kumar Sarangi,INR,"305,084.65",Municipal Bodies||Soro Municipality,2026_ORULB_125887_56,SOROM_07_2025-26,Open Space Development with Seating Benches at Tundapada Play Ground in Ward No.-16,30-May-2026,"INR 305,084.65",90.0,Biswo Ranjan Pradhan,30-May-2026 11:25 AM,W56.pdf (640.00 KB),Finance,2 bidders MANOJ KUMAR PATRA L2 and Nirod Kumar Sarangi L1 have participated. Hence Nirod Kumar Sarangi can be accepted as 1st lowest bidder.,Sanjaya Kumar Sena,07-Mar-2026 01:40 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3410099,Nirod Kumar Sarangi,25-Feb-2026 01:07 PM,Accepted-AOC,Work order,30-May-2026 11:25 AM,,,,,,,,,,,,,,,,,,,,,,AOC
