Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
18-Sep-2025 02:00 PM,17-Oct-2025 11:00 AM,18-Sep-2025 02:00 PM,16-Oct-2025 05:00 PM,NA ,NA ,18-Sep-2025 02:00 PM,16-Oct-2025 05:00 PM,06-Feb-2026 04:00 PM,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-15 of 2025,2025_CERWI_118169_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Date Corrigendum,Date,,"1,96,839",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",Improvement to NH-203-Mangarajpur Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,Improvement to NH-203-Mangarajpur Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,Please refer Tender documents. ,NA ,"1,96,83,925",Civil Works - Roads,NA ,Tender,90.0,120.0,Puri,752001.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",AOC,Technical,11 nos bidder participated in the tender,Priyambada Swain,06-Feb-2026 11:56 AM,,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionBhubaneswarSrDAORWDivisionPuriPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,15-May-2026 12:14 PM,finsummary_552917.pdf (240.77 KB),Finance,8 nos bidder qualified in the tender,Priyambada Swain,10-Feb-2026 06:06 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionBhubaneswarSrDAORWDivisionPuriPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,06-Feb-2026 12:01 PM,06-Feb-2026 04:00 PM,techsummary_552917.pdf (879.56 KB),15-May-2026,"INR 19,683,925",120.0,Priyambada Swain,15-May-2026 12:18 PM,MangarajpurAgtmtDetails.pdf (1602.00 KB),"Work order letter No.5810 dtd.08.05.2026 and Agmt No.03 P1 of 2026-27 dtd.08.05.2026 of Superintending Engineer, Rural Works Division, Puri",1,3131342,ARUN KUMAR BEHERA,16-Oct-2025 04:28 PM,Rejected-Finance,Other than winner of the transparent lottery system,15-May-2026 12:14 PM,CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_118169_16,Tender Online C.C-15 of 2025,Improvement to NH-203-Mangarajpur Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,1.0,3131053.0,PRAKASH CHANDRA SRICHANDAN,INR,"19,683,925",1.0,Tender Revocation,Tender Revocation,06-Feb-2026 11:25 AM,546.pdf ,640.41,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3100655,BALABHADRA ROUT,26-Sep-2025 09:57 AM,Rejected-Technical,As Per Clause No.2.1(5) of the Eligibility Criteria of General Instructions To Tenderers of the DTCN (Insufficient Turn over),06-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3097050,BISWOJIT PANDA,25-Sep-2025 12:47 PM,Rejected-Technical,As Per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To Tenderers of the DTCN (Supression of Facts),06-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3129790,CHANDAN KUMAR PAIKARAY,15-Oct-2025 05:04 PM,Rejected-Finance,Other than winner of the transparent lottery system,15-May-2026 12:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3100705,MANAS RANJAN RAUT,15-Oct-2025 11:39 PM,Rejected-Technical,As Per Clause No.2.6.3 of the Detailed Tender Call Notice (EMD availed),06-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3131338,M/s ULLASH CHANDRA TARAI,16-Oct-2025 04:23 PM,Rejected-Finance,Other than winner of the transparent lottery system,15-May-2026 12:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3131301,P ATISH PRASAD,16-Oct-2025 04:06 PM,Rejected-Finance,Other than winner of the transparent lottery system,15-May-2026 12:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3131175,PRAFULLA KUMAR MISHRA,16-Oct-2025 03:05 PM,Rejected-Finance,Other than winner of the transparent lottery system,15-May-2026 12:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3131053,PRAKASH CHANDRA SRICHANDAN,16-Oct-2025 02:03 PM,Accepted-AOC,Accepted,15-May-2026 12:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3130861,SRIKRUSHNA MOHANTY,16-Oct-2025 12:43 PM,Rejected-Finance,Other than winner of the transparent lottery system,15-May-2026 12:14 PM,,,,,,,,,,,,,,,,,AOC
