Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"CE,Drainage,Cuttack||SE,Drainage,Balasore",2025_CEDC_120649_1,"ACEDC,BLS/DDBDK-01-13/2025-26",Improvement to link drain to Rebo DC from Paisara to Shyamala and its link drain and dc from Kharadapatana to Genguti in Bodak G.P. of Dhamnagar Block of Bhadrak District.,1.0,3221031.0,Shantanu Maity,INR,"13,518,126.07",DIPAK RANJAN BEHERA ACE DRAINAGE CIRCLE BALASORE,Internal,PRIYABRATA BEHERA SE DD BHADRAK DAO SE DD BHADRAK,Dipak Ranjan Behera,09-Dec-2025 06:57 PM,10-Dec-2025 11:00 AM,techsummary_561237.pdf (1188.10 KB),18-May-2026,"INR 13,518,126.07",330.0,Dipak Ranjan Behera,18-May-2026 04:08 PM,WOREBO.pdf (972.00 KB),awarded,Dipak ranjan behera ACE DC BALASORE,Internal,PRIYABRATA BEHERA SE DD BHADRAK SABUJ PODDER DAO DD BHADRAK ESTIMATOR DD BHADRAK,Dipak Ranjan Behera,02-Feb-2026 01:37 PM,finsummary_561237.pdf (850.78 KB),1,3226951,Abhaya Kumar Puhan,17-Nov-2025 01:23 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,Technical,successfully downloaded of 68 nos of technical bis,Dipak Ranjan Behera,20-Nov-2025 03:59 PM,technical_561237.pdf,Finance,successfully downloaded of 68 nos of financial bids,Pallavi Dey,16-Dec-2025 11:51 AM,finance_561237.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, Contractor RC, Affidavits, Undertakings and Other documents as per DTCN","1,59,018",Yes,fixed,,Nil,Nil,Improvement to link drain to Rebo DC from Paisara to Shyamala and its link drain and dc from Kharadapatana to Genguti in Bodak G.P. of Dhamnagar Block of Bhadrak District.,IMPROVEMENT WORKS TO DRAINAGE CHANNEL,Please refer Tender documents. ,NA ,"1,59,01,807",Civil Works - Others,NA ,Tender,90.0,330.0,"Dhamnagar,Bhadrak",756117.0,NA ,NA ,NA ,"O/O the A.C.E., Drainage Circle, Balasore.",No ,No,"10,000",0.0,Nil,Nil,No,"A. C. E., Drainage Circle, Balasore","Office of the Additional Chief Engineer, Drainage Circle, Balasore",03-Nov-2025 10:00 AM,18-Nov-2025 11:30 AM,03-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,03-Nov-2025 10:00 AM ,10-Nov-2025 05:00 PM ,03-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,10-Dec-2025 11:00 AM,1.0,ICICI BANK,"CE,Drainage,Cuttack||SE,Drainage,Balasore","ACEDC,BLS/DDBDK-01-13/2025-26",2025_CEDC_120649_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3225645,Ajaya Kumar Ghadei,14-Nov-2025 06:10 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3229498,Anjan kumar Das,16-Nov-2025 03:15 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3231342,Anshuman Rout,17-Nov-2025 12:12 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3230264,ANURAG BEHERA,16-Nov-2025 09:19 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3231959,ASIT KUMAR ROUT,17-Nov-2025 01:49 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3214554,Bhaktibeda Biswal,11-Nov-2025 06:10 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3223691,Bibhu Kalyan Swain,14-Nov-2025 11:26 AM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3214436,Bikramjit Barik,12-Nov-2025 02:11 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3229431,BINAYA KUMAR NATH,16-Nov-2025 02:40 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
