S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3232103.0,M/S. NIMAIN CHARAN BARIK,INR,"1,276,717",PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,2025_PHEO_120933_1,"SEPH-DIVISION, CTC- 30 (05) of 2025-26",Sinking of 150mm dia Production Well with internal electrifications and commissioning including laying of pipeline near Dist. Jail Campus in Jagatsinghpur.,Er. Ajaya Naik,Internal,"JE, (Estimator), PH Division, Cuttack, DAO-I, PH Division, Cuttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,05-May-2026 02:08 PM,techsummary_562762.pdf (1059.34 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents and Financial bid submitted by the tenderers online.,Ajaya Kumar Naik,19-Nov-2025 01:29 PM,,BOQ Comparative Chart,Er. Ajaya Naik,Internal,"JE, (Estimator), PH Division, Cuttack, DAO-I, PH Division, Cuttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,05-May-2026 02:12 PM,finsummary_562762.pdf (1059.34 KB),05-May-2026,"INR 1,276,717",60.0,Ajaya Kumar Naik,05-May-2026 02:16 PM,cssss.pdf (1059.00 KB),1,3234380,ABHIMANYU SWAIN,18-Nov-2025 09:40 AM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,"OO Superintending Engineer, PH Division, Cuttack","OO Superintending Engineer, PH Division, Cuttack, Nayabazar, Cuttack","16,000",Yes,fixed,,Nil,Nil,PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,"SEPH-DIVISION, CTC- 30 (05) of 2025-26",2025_PHEO_120933_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,Valid Regd.Certificate,GST,PAN,Affidavit as per DTCN",1.0,ICICI BANK,07-Nov-2025 06:00 PM,19-Nov-2025 11:00 AM,07-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,07-Nov-2025 06:00 PM ,11-Nov-2025 05:00 PM ,07-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,Sinking of 150mm dia Production Well with internal electrifications and commissioning including laying of pipeline near Dist. Jail Campus in Jagatsinghpur.,Sinking of 150mm dia Production Well with internal electrifications and commissioning including laying of pipeline near Dist. Jail Campus in Jagatsinghpur.,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,60.0,"Mahanadivihar, Cuttack",753004.0,NA ,NA ,NA ,"OO Superintending Engineer, PH Division, Cuttack",No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3235233,AJAYA KUMAR BEHERA,18-Nov-2025 01:51 PM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3235312,AKSHAYA KUMAR BEHERA,18-Nov-2025 02:13 PM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3235401,DHABALESWAR BEHERA,18-Nov-2025 02:32 PM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3235288,GURU CHARAN ROUT,18-Nov-2025 02:23 PM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3226633,J.B.S. Construction,15-Nov-2025 10:51 AM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3230694,KULAMANI SAHOO,18-Nov-2025 10:34 AM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3232103,M/S. NIMAIN CHARAN BARIK,18-Nov-2025 12:52 PM,Accepted-AOC,Won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3229329,NRUSINGH CHARAN MOHAPATRA,16-Nov-2025 01:44 PM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3226867,SASMITA MOHANTY,17-Nov-2025 12:51 PM,Rejected-AOC,do not won the lottery,05-May-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
