S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3369709.0,JANBI CONSTRUCTION,INR,"3,978,339","SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,21-May-2026 12:40 PM,finsummary_576502.pdf (279.66 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2026_CERWI_124770_2,13/2025-26,S/R to BM Road to MV-32 Road for the year 2025-26 (SDBC Work and Boxcell Culvert),Technical,Technical Evaluation,Jangya Narayan Gouda,07-Feb-2026 07:01 PM,technical_576502.pdf,Finance,AOC for Agreement Details,Jangya Narayan Gouda,21-May-2026 12:33 PM,finance_576502.pdf,BOQ Comparative Chart,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,07-Feb-2026 07:08 PM,10-Feb-2026 11:00 AM,techsummary_576502.pdf (237.72 KB),21-May-2026,"INR 3,978,339",60.0,Jangya Narayan Gouda,21-May-2026 12:47 PM,BMRoadtoMV32JanbiConstruction.pdf (280.00 KB),AOC for Agreement Details,1,3370759,BISWABANDHU BISWAS,28-Jan-2026 04:56 PM,Rejected-AOC,Un-Successful,21-May-2026 12:47 PM,AOC,S/R to BM Road to MV-32 Road for the year 2025-26 (SDBC Work and Boxcell Culvert),"PANCARD, GST, CONTRACTOR REGISTRATION, AFFIDAVIT ETC.",Please refer Tender documents. ,NA ,"54,62,000",Civil Works - Roads,NA ,Tender,90.0,60.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"SERWD-II, MALKANGIRI",No ,No,1.0,ICICI BANK,"64,810",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,13/2025-26,2026_CERWI_124770_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,19-Jan-2026 11:00 AM,29-Jan-2026 11:00 AM,19-Jan-2026 11:00 AM,28-Jan-2026 05:30 PM,NA ,NA ,19-Jan-2026 11:00 AM,28-Jan-2026 05:30 PM,10-Feb-2026 11:00 AM,SUPERINTENDING ENGINEER,SUPERINTENDING ENGINEER,1.0,Fee/PreQual/Technical,.pdf,"PANCARD, GST, CONTRACTOR REGISTRATION, AFFIDAVIT ETC.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3369709,JANBI CONSTRUCTION,28-Jan-2026 02:09 PM,Accepted-AOC,Successful,21-May-2026 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3370070,MEGHANA MOHANTY,28-Jan-2026 01:58 PM,Rejected-Technical,Due to Non-submission of Machineries documents,07-Feb-2026 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3370152,NITAI BAL,28-Jan-2026 02:21 PM,Rejected-AOC,Un-Successful,21-May-2026 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3370291,SNIGDHA BISWAS,28-Jan-2026 02:24 PM,Rejected-Technical,Due to Non-submission of Correct no Relation Certificate and Correctness of Certificate,07-Feb-2026 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
