S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3263415.0,SANTOSH KUMAR PRADHAN,INR,"1,291,066.87",Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,2025_RWSS_121615_2,13/SE/RWSS/KPT/25-26/01.11.25,PIPED WATER SUPPLY TO BILAPUT GP BILAPUT UNDER NANDAPUR BLOCK UNDER BASUDHA PROGRAMME,SUPERINTENDING ENGINEER RWSS DIVISION KORAPUT,Internal,SUPERINTENDING ENGINEER RWSS DIVISION KORAPUT DAO RWSS DIVISION KORAPUT JUNIOR ENGINEER ESTIMATOR RWSS DIVISION KORAPUT,Jagabandhu Chaudhury,07-Jan-2026 06:08 PM,07-Jan-2026 06:10 PM,techsummary_565727.pdf (1826.22 KB),19-May-2026,"INR 1,291,066.87",90.0,Biketa Majhi,19-May-2026 11:19 PM,bilaputaoc.pdf (689.00 KB),SE RWSS DIVISION KORAPUT,Internal,JE ESTR. DAO RWSS DIVISION KORAPUT,Biketa Majhi,19-May-2026 11:13 PM,finsummary_565727.pdf (824.33 KB),Finance,All 4 bidders are admitted,Jagabandhu Chaudhury,07-Jan-2026 08:56 PM,,BOQ Comparative Chart,1,3252347,B TEJASWAR RAO,24-Nov-2025 10:00 PM,Rejected-AOC,DISQUALIFIED AS 2ND LOTTERY WINNER,19-May-2026 11:20 PM,Technical,5 NOS BIDDERS ARE SUBMITTED,Jagabandhu Chaudhury,02-Dec-2025 01:11 PM,,AOC,PIPED WATER SUPPLY TO BILAPUT GP BILAPUT UNDER NANDAPUR BLOCK UNDER BASUDHA PROGRAMME,PIPED WATER SUPPLY TO BILAPUT GP BILAPUT UNDER NANDAPUR BLOCK UNDER BASUDHA PROGRAMME,PLS REFER TENDER DOCUMENT ,NA ,"15,18,724",Civil Works - Water Works,NA ,Tender,180.0,90.0,NANDAPUR,764037.0,NA ,NA ,NA ,RWSS DIVISION KORAPUT,No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,20-Nov-2025 05:00 PM,01-Dec-2025 11:00 AM,20-Nov-2025 05:00 PM,29-Nov-2025 05:00 PM,20-Nov-2025 05:00 PM ,28-Nov-2025 05:00 PM ,20-Nov-2025 05:00 PM,29-Nov-2025 05:00 PM,07-Jan-2026 06:10 PM,Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,13/SE/RWSS/KPT/25-26/01.11.25,2025_RWSS_121615_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"15,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"TENDER COST, DD, EMD, GST, CONTRACTOR REGISTRATION CERTIFICATE, AFFIDAVIT ETC AS PER DTCN",SE RWSS DIVISION KORAPUT,SE RWSS DIVISION KORAPUT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3258803,GANESH PRASAD PATTNAYAK,26-Nov-2025 11:31 PM,Rejected-AOC,DISQUALIFIED AS 3RD LOTTERY WINNER,19-May-2026 11:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3262815,GUPTESWAR PATRA,28-Nov-2025 07:39 PM,Rejected-Technical,Non Submission of annual Turn over and Experience Certificate,07-Jan-2026 06:08 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3259784,HARIHARA PALIGUDIA,29-Nov-2025 04:12 PM,Rejected-AOC,DISQUALIFIED AS 3RD LOTTERY WINNER,19-May-2026 11:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3263415,SANTOSH KUMAR PRADHAN,28-Nov-2025 01:39 PM,Accepted-AOC,QUALIFIED AS 1ST LOTTERY WINNER,19-May-2026 11:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
