Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
06-Apr-2026,"INR 1,041,378.75",60.0,Manash Kumar Pradhan,08-May-2026 12:40 PM,rengalbedacd.pdf (707.00 KB),1.0,3411269.0,SAURAV RANJAN GIRI,INR,"1,041,378.75","CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Jashipur",2026_CEMIB_125977_13,SE 10/MID JSP/2025-26,Improvement to Rengalbeda Check Dam over Rengalbeda nalla village Rengalbeda in Bijatala Block of Mayurbhanj District under Impt to Check Dam scheme for the year 2025-26.,1,3409906,ANITA RANI GIRI,24-Feb-2026 03:35 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,Finance,10 Bidders Participated,Manash Kumar Pradhan,19-Mar-2026 04:08 PM,,BOQ Comparative Chart,Er. Manash Kumar Pradhan,Internal,,Manash Kumar Pradhan,23-Mar-2026 04:47 PM,finsummary_581173.pdf (1469.16 KB),Er. Manash Kumar Pradhan,Internal,,Manash Kumar Pradhan,19-Mar-2026 04:14 PM,techsummary_581173.pdf (1469.16 KB),AOC,1.0,ICICI BANK,"10,500",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Improvement to Rengalbeda Check Dam over Rengalbeda nalla village Rengalbeda in Bijatala Block of Mayurbhanj District under Impt to Check Dam scheme for the year 2025-26.,Improvement to Rengalbeda Check Dam over Rengalbeda nalla village Rengalbeda in Bijatala Block of Mayurbhanj District under Impt to Check Dam scheme for the year 2025-26.,D and C ,NA ,"10,46,612",Civil Works - Others,Imp. to Check Dam ,Tender,90.0,60.0,Bijatala,757048.0,NA ,NA ,NA ,"O/o the SE M.I. Division, Jashipur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GSTIN,PAN,Affidavit, No litigation, No Relation Certificate and necessary documents as per DTCN",17-Feb-2026 10:00 AM,27-Feb-2026 11:00 AM,17-Feb-2026 10:00 AM,26-Feb-2026 05:00 PM,17-Feb-2026 10:00 AM ,26-Feb-2026 05:00 PM ,17-Feb-2026 10:00 AM,26-Feb-2026 05:00 PM,"SE M.I. Division, Jashipur","O/o the SE M.I. Division, Jashipur","CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Jashipur",SE 10/MID JSP/2025-26,2026_CEMIB_125977_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3411432,ANJANA KUMARI MOHANTA,25-Feb-2026 03:46 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3413068,JAYANTA KUMAR ACHARYA,26-Feb-2026 04:47 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3413073,LALITA NAIK,26-Feb-2026 04:54 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3411827,LALIT BHARTI,25-Feb-2026 07:50 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3412157,LALTU MOHANTA,26-Feb-2026 08:38 AM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3413013,MALAY KUMAR MARNDI,26-Feb-2026 04:10 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3410078,NUACHAND MOHANTA,24-Feb-2026 04:09 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3411269,SAURAV RANJAN GIRI,25-Feb-2026 05:00 PM,Accepted-AOC,Lottery Winner,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3408595,YOSOBANTA SAHU,23-Feb-2026 03:40 PM,Rejected-AOC,Unsuccessful in Lottery,08-May-2026 12:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
