S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1,2992267,BIBHUTI PRASAD RANA,07-Jul-2025 03:14 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,1.0,2991036.0,LAXMIDHAR SAHOO,INR,0.0,Municipal Bodies||Belpahar Municipal Council,2025_ORULB_114739_17,EO/BPHM02/25-26,Construction of Pavor Road from Chhotu Chicken shop to Basanti Pandey house in W.No.11,18-May-2026,INR 0,120.0,Nilakantha Kisan,18-May-2026 11:07 AM,UNNATI.pdf (153.00 KB),Finance,ok,Nilakantha Kisan,25-Jul-2025 10:49 AM,finance_544149.pdf,BOQ Comparative Chart,Nimai Charan Panda,Internal,,Nilakantha Kisan,11-Aug-2025 04:15 PM,finsummary_544149.pdf (256.50 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,30-Jul-2025 12:52 PM,techsummary_544149.pdf (256.50 KB),AOC,"4,000",0.0,Nil,Nil,No,26-Jun-2025 10:00 AM,08-Jul-2025 11:00 AM,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,NA ,NA ,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,Construction of Pavor Road from Chhotu Chicken shop to Basanti Pandey house in W.No.11,Construction of Pavor Road from Chhotu Chicken shop to Basanti Pandey house in W.No.11,Please refer Tender documents. ,NA ,"10,00,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,1.0,ICICI BANK,Municipal Bodies||Belpahar Municipal Council,EO/BPHM02/25-26,2025_ORULB_114739_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,000",Yes,fixed,,Nil,Nil,AOC
2,2991209,Debendra Sahu,06-Jul-2025 07:08 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
3,2990655,DURGA DUTTA TRIPATHY,05-Jul-2025 04:10 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,2991481,GOURANGA CHARAN SAHU,06-Jul-2025 07:06 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,2990933,J. Rajendra Dora,06-Jul-2025 01:02 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,2991213,lalu kishan,06-Jul-2025 12:33 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,2991036,LAXMIDHAR SAHOO,06-Jul-2025 10:44 AM,Accepted-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,2991318,M/S SASWAT ENTERPRISES,06-Jul-2025 03:28 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,2992260,RABINDRA BISWAL,07-Jul-2025 03:03 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,2991253,RANJIT KUMAR BISWAL,06-Jul-2025 01:27 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
