Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,S/R to Nagari to Sahadabedi Road for the year 2025-26,S/R to Nagari to Sahadabedi Road for the year 2025-26,Please refer Tender documents. ,NA ,"25,17,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,"25,170",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert., No relation and Affidavit towards Correctness Certificate",1.0,ICICI BANK,"The Executive Engineer, R. W. Division,","The Superintending Engineer, R. W. Division, Jagatsinghpur",07-Nov-2025 11:00 AM,15-Nov-2025 11:00 AM,07-Nov-2025 11:00 AM,14-Nov-2025 05:00 PM,07-Nov-2025 11:00 AM ,13-Nov-2025 03:00 PM ,07-Nov-2025 11:00 AM,14-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 08 of 2025-26,2025_CERWI_120889_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,eerwd,Internal,,Dipika Majhi,06-May-2026 12:16 PM,finsummary_562330.pdf (746.90 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_120889_7,Tender Online - 08 of 2025-26,S/R to Nagari to Sahadabedi Road for the year 2025-26,1.0,3221906.0,BALARAM PRADHAN,INR,"2,139,856",Finance,Summary,Dipika Majhi,08-Jan-2026 09:31 PM,finance_562330.pdf,BOQ Comparative Chart,1,3221906,BALARAM PRADHAN,13-Nov-2025 09:40 PM,Accepted-AOC,AoC,20-May-2026 02:46 PM,20-May-2026,"INR 2,139,856",30.0,Dipika Majhi,20-May-2026 02:46 PM,52.pdf (2441.00 KB),AoC,eerwd,Internal,,Dipika Majhi,05-Feb-2026 08:09 AM,techsummary_562330.pdf (746.90 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3223775,BISWAJIT MOHARANA,14-Nov-2025 12:58 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3223657,CHANDRAKANTA MOHANTY,14-Nov-2025 11:13 AM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3222172,KISHORE KUMAR MUDULI,13-Nov-2025 05:31 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3224825,M/S. SANJAY KUMAR PARIDA,14-Nov-2025 02:57 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3224702,M/S SUSIL MALLICK,14-Nov-2025 02:25 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3224537,NAGENDRA JENA,14-Nov-2025 03:16 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3223266,PRADEEP KUMAR DAS,14-Nov-2025 10:15 AM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3213940,PRITAM SWAIN,11-Nov-2025 04:20 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3225298,RAJANIKANTA DAS,14-Nov-2025 04:16 PM,Rejected-Technical,Technically Qualified,05-Feb-2026 08:09 AM,,,,,,,,,,,,,,AOC
