S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3291261.0,ANUP BUILDERS,INR,"210,273,315","The Commissioner-cum-Secretary to Government, WD",Internal,"The CE, BRIDGES, Odisha, FA-cum-Special Secretary to Government, WD",Jyoti Prakash Sahoo,21-May-2026 11:05 AM,finsummary_564725.pdf (5226.21 KB),Technical,Eighteen bidders participated in this tender,Jyoti Prakash Sahoo,10-Dec-2025 01:57 PM,,EIC-CIVIL||EIC-CIVIL,2025_EICCL_121279_3,CE-BRIDGES-08/2025-26,Improvement to PWD road from Sinkhaman (connecting Balangir - Titlagarh NH to Deogaon) to Bhutiarbahal and Bhutiarbahal to Dhandamal from 0.0 to 10.870km in the District of Balangir for the year 2025-26,Finance,All are quoted 14.99 percent less,Jyoti Prakash Sahoo,25-Feb-2026 01:13 PM,,BOQ Comparative Chart,"Er. Satyabrata Behera, EIC (Civil-cum-Roads), Odisha",Internal,"Er. A. Tripathy, CE, Bridges, Odisha, Er. R.R Sahoo, ACE, Bridges, Mrs. Poonam Singh, FA",Arabinda Tripathy,21-Feb-2026 06:26 PM,25-Feb-2026 11:00 AM,techsummary_564725.pdf (17496.24 KB),1,3291261,ANUP BUILDERS,09-Dec-2025 12:56 PM,Accepted-AOC,1st lowest bidder selected through transparent lottery system,21-May-2026 11:13 AM,21-May-2026,"INR 210,273,315",335.0,Jyoti Prakash Sahoo,21-May-2026 11:13 AM,AOC_Sinkhaman.pdf (1193.00 KB),"Agreement No.03 P1 of 2026-27 of S.E., Balangir R and B Division, Balangir",AOC,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, Bid Security, GSTIN, PAN, RC and Affidavit",Improvement to PWD road from Sinkhaman (connecting Balangir - Titlagarh NH to Deogaon) to Bhutiarbahal and Bhutiarbahal to Dhandamal from 0.0 to 10.870km in the District of Balangir for the year 2025-26,Improvement to PWD road from Sinkhaman (connecting Balangir - Titlagarh NH to Deogaon) to Bhutiarbahal and Bhutiarbahal to Dhandamal from 0.0 to 10.870km in the District of Balangir for the year 2025-26,Please refer Tender documents. ,NA ,"24,73,51,271",Civil Works - Roads,NA ,Tender,90.0,335.0,in the District of Balangir,751001.0,NA ,NA ,NA ,"Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",No ,No,"Chief Engineer, Bridges, Odisha","Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswar","24,73,600",Yes,fixed,,Nil,Nil,EIC-CIVIL||EIC-CIVIL,CE-BRIDGES-08/2025-26,2025_EICCL_121279_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,18-Nov-2025 06:20 PM,10-Dec-2025 11:30 AM,18-Nov-2025 06:20 PM,09-Dec-2025 05:00 PM,18-Nov-2025 06:20 PM ,05-Dec-2025 05:00 PM ,18-Nov-2025 06:20 PM,09-Dec-2025 05:00 PM,25-Feb-2026 11:00 AM,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3288078,ARNS INFRAPROJECTS PRIVATE LIMITED,09-Dec-2025 08:19 AM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3290998,BKD INFRASTRUCTURE PRIVATE LIMITED,09-Dec-2025 03:07 PM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,,,.pdf,Other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3291775,BRILLIANT INFRAPROJECTS PRIVATE LIMITED,09-Dec-2025 04:17 PM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3291590,DEMANTI AGRAWAL,09-Dec-2025 03:44 PM,Rejected-Technical,Disqualified,21-Feb-2026 06:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3280964,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,09-Dec-2025 11:01 AM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3286388,KL INFRABUILD PVT. LTD.,07-Dec-2025 05:26 PM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3280892,LAL MOHAN PANDA,09-Dec-2025 02:14 PM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3291018,MONALISA ENGICONS,09-Dec-2025 03:02 PM,Rejected-Technical,Disqualified,21-Feb-2026 06:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3263986,M/s Sri Durga Condev Private Limited,09-Dec-2025 04:27 PM,Rejected-Finance,1st lowest bidder,21-May-2026 11:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
