S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3319434.0,SISIRA KANTA JENA,INR,"20,530,914",WATCO Bhubaneswar,2025_WATCO_122514_1,WATCO (W)-26(03)/2025-26 Dtd.25.11.2025,"Laying of Distribution water supply pipe line in newly developed areas to Zone No-08 under Vyasanagar Municipality, Jajpur Road",Technical,Ten no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,23-Dec-2025 02:11 PM,,Managing Director,Internal,,JAYALAXMI BISWAL,25-May-2026 11:16 AM,finsummary_569144.pdf (747.75 KB),Managing Director,Internal,,JAYALAXMI BISWAL,21-Feb-2026 01:32 PM,23-Feb-2026 11:30 AM,techsummary_569144.pdf (4875.78 KB),Finance,Nine no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,23-Feb-2026 01:39 PM,,BOQ Comparative Chart,25-May-2026,"INR 20,530,914",365.0,JAYALAXMI BISWAL,25-May-2026 11:20 AM,AOC.pdf (458.00 KB),1,3319126,AMULYA KUMAR NAYAK,20-Dec-2025 02:01 PM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444","2,42,000",Yes,fixed,,Nil,Nil,"Laying of Distribution water supply pipe line in newly developed areas to Zone No-08 under Vyasanagar Municipality, Jajpur Road","Laying of Distribution water supply pipe line in newly developed areas to Zone No-08 under Vyasanagar Municipality, Jajpur Road",Please refer Tender documents. ,NA ,"2,41,51,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,"Vyasanagar Municipality, Jajpur Road",755019.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"11,800",Nil,Nil,No,1.0,ICICI BANK,05-Dec-2025 05:00 PM,23-Dec-2025 12:30 PM,05-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,05-Dec-2025 05:00 PM ,10-Dec-2025 05:00 PM ,05-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,23-Feb-2026 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",WATCO Bhubaneswar,WATCO (W)-26(03)/2025-26 Dtd.25.11.2025,2025_WATCO_122514_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3316760,ARPANA KUMAR BEHURA,19-Dec-2025 01:27 PM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3319223,Biswajeet Sahoo,20-Dec-2025 01:47 PM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3312821,CHINTAMANI KUNDA,20-Dec-2025 11:05 AM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3319382,JRCC Infra LLP,20-Dec-2025 04:47 PM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3314942,MAA KHANDUALI ENGINEERING WORKS,19-Dec-2025 12:52 PM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3310510,Rashmi Rekha Dash,19-Dec-2025 06:58 PM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3318637,Sarat Chandra Pradhan,20-Dec-2025 02:38 AM,Rejected-AOC,Not a lowest bidder,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3319434,SISIRA KANTA JENA,20-Dec-2025 03:42 PM,Accepted-AOC,Lowest bidder in Lottery,25-May-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3317977,SRABANI KAR,20-Dec-2025 01:52 PM,Rejected-Technical,Technically disqualified,21-Feb-2026 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
