Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Finance,21nos bidders,Rajendra Majhi,13-Feb-2026 06:24 PM,finance_578189.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_125179_11,EETIG-ONLINE-15-2025-26,"SR to Chaulia to Badagamada road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Bangomunda Block for the year 2025-26",1.0,3388329.0,NETRANANDA MAJHI,INR,"545,542",1,3385650,ABHISHEK SARAF,09-Feb-2026 10:37 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,08-May-2026,"INR 545,542",180.0,Rajendra Majhi,08-May-2026 01:31 PM,16.pdf (198.00 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 01:25 PM,techsummary_578189.pdf (198.49 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 01:29 PM,finsummary_578189.pdf (198.49 KB),AOC,"4,000",0.0,Nil,Nil,No,"SR to Chaulia to Badagamada road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Bangomunda Block for the year 2025-26","SR to Chaulia to Badagamada road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, under Bangomunda Block for the year 2025-26",PLEASE REFER TENDER DOCUMENTS ,NA ,"5,46,088",Civil Works - Roads,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-15-2025-26,2026_CERWI_125179_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,30-Jan-2026 11:00 AM,11-Feb-2026 11:00 AM,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,30-Jan-2026 11:00 AM ,09-Feb-2026 11:00 AM ,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS","5,460",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3388536,ADHYAN INFRA,09-Feb-2026 09:16 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"NO RELATION CERTIFICATE, LABOUR LICENSE AND OTHER RELATED DOCUMENTS AS PER DTCN",,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3388924,Amit Agrawal,10-Feb-2026 11:31 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3391050,ANTARYAMI SUNA,10-Feb-2026 04:26 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3386646,BASANT KUMAR JAIN,09-Feb-2026 01:27 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3385638,GHASIRAM JAINI,09-Feb-2026 11:24 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3388825,GOURAB KUMAR BANSAL,09-Feb-2026 08:23 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3387824,HEENA AGRAWAL,09-Feb-2026 02:11 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3389966,HEMAKANTI BEHERA,10-Feb-2026 02:48 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3387258,MAHAMAI CONSTRUCTION,09-Feb-2026 11:59 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
