Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 09/2024-25,2024_EICCL_107879_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN, GSTIN, Electrical License, Affidavit and Other documents as DTCN.",04-Dec-2024 05:00 PM,20-Dec-2024 11:30 AM,04-Dec-2024 05:00 PM,19-Dec-2024 05:00 PM,04-Dec-2024 05:00 PM ,12-Dec-2024 05:00 PM ,04-Dec-2024 05:00 PM,19-Dec-2024 05:00 PM,09-Jan-2025 05:00 PM,S.E. Electrical Circle (RandB) Bhubaneswar,"S.E. Electrical Circle (RandB) Bhubaneswar, Nirman Soudha, Unit-V, 751001","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Shifting of electrical infrastructure for road widening and strengthening in Dharmasala-Subalaya-Gariamunda (SDO Birmaharajpur),Shifting of electrical infrastructure for road widening and strengthening in Dharmasala-Subalaya-Gariamunda (SDO Birmaharajpur),Please refer Tender documents. ,NA ,"62,03,979",Electrical Works,NA ,Tender,90.0,180.0,Sonepur,767018.0,NA ,NA ,NA ,S.E. Electrical Circle (RandB) Bhubaneswar,No ,No,"62,040",No,fixed,,Nil,Nil,AOC,"S.E. Electrical (RandB) Odisha, Bhubaneswar",Internal,"AEE SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, AEE GE Sub Divn., Sonepur, DAO Sonepur (RandB) Divn. and SE, Sonepur (RandB) Divn.",Bapuji Behera,03-Mar-2025 05:05 PM,finsummary_519272.pdf (393.07 KB),Technical,Opened,Nihar Chandra Naik,20-Dec-2024 01:52 PM,,EIC-CIVIL||SE R and B Electrical,2024_EICCL_107879_1,Bid Identification No.S.E.E.C (RandB) 09/2024-25,Shifting of electrical infrastructure for road widening and strengthening in Dharmasala-Subalaya-Gariamunda (SDO Birmaharajpur),1.0,2703338.0,M/s B. M. ELECTRICALS AND CONSTRUCTION,INR,"5,274,003",04-May-2026,"INR 5,274,003",180.0,Nihar Chandra Naik,04-May-2026 05:56 PM,(0.00 KB),AOC,1,2703338,M/s B. M. ELECTRICALS AND CONSTRUCTION,19-Dec-2024 12:12 PM,Accepted-AOC,OK,04-May-2026 06:03 PM,Finance,Opened,Sulagna Biswal,09-Jan-2025 05:53 PM,,BOQ Comparative Chart,"S.E. Electrical Circle (RandB) Odisha, BBSR",Internal,"AEE, SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, Addl. CE Sonepur (RandB) Division, DAO Sonepur (RandB) Division, AEE GE Sub-Division Sonepur.",Nihar Chandra Naik,07-Jan-2025 07:11 PM,09-Jan-2025 05:00 PM,techsummary_519272.pdf (516.86 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2702086,POWERTECH ENGINEERING.TAPAS RANJAN PATI,18-Dec-2024 01:46 PM,Rejected-AOC,OK,04-May-2026 06:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2697515,SHREE SHYAM INFRASTRUCTURE,16-Dec-2024 12:01 AM,Rejected-Technical,"Not fulfilled the criteria as per DTCN Clause No.11 (d). Hence, the firm is found dis-qualified by the committee.",07-Jan-2025 07:11 PM,,,,,,,,,,,,,,AOC
