Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, Contractor RC, Affidavits, Undertakings and Other documents as per DTCN","10,000",0.0,Nil,Nil,No,"3,35,971",Yes,fixed,,Nil,Nil,"A. C. E., Drainage Circle, Balasore","Office of the Additional Chief Engineer, Drainage Circle, Balasore.",03-Nov-2025 10:00 AM,18-Nov-2025 11:30 AM,03-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,03-Nov-2025 10:00 AM ,10-Nov-2025 05:00 PM ,03-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,10-Dec-2025 11:00 AM,Improvement to Mahula Jhor and its link drain with structures in Chandabali Block of Bhadrak District under Kansabansa-Mantei DOAB No.XI.,IMPROVEMENT WORKS TO DRAINAGE CHANNEL,Please refer Tender documents. ,NA ,"3,35,97,070",Civil Works - Others,NA ,Tender,90.0,445.0,Chandabali Bhadrak,756133.0,NA ,NA ,NA ,"O/O the A.C.E., Drainage Circle, Balasore.",No ,No,"CE,Drainage,Cuttack||SE,Drainage,Balasore","ACEDC,BLS/DDBDK-02-13/2025-26",2025_CEDC_120651_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,DIPAK RANJAN BEHERA ACE DRAINAGE CIRCLE BALASORE,Internal,PRIYABRATA BEHERA SE DD BHADRAK DAO SE DD BHADRAK,Dipak Ranjan Behera,09-Dec-2025 06:41 PM,10-Dec-2025 11:00 AM,techsummary_561239.pdf (1212.02 KB),"CE,Drainage,Cuttack||SE,Drainage,Balasore",2025_CEDC_120651_1,"ACEDC,BLS/DDBDK-02-13/2025-26",Improvement to Mahula Jhor and its link drain with structures in Chandabali Block of Bhadrak District under Kansabansa-Mantei DOAB No.XI.,1.0,3229407.0,HRUSEKESH NATH,INR,"28,560,869.33",Finance,successfully downloaded of 64 nos of financial bids,Pallavi Dey,16-Dec-2025 12:02 PM,finance_561239.pdf,BOQ Comparative Chart,Technical,successfully downloaded of 64 nos of technical bids,Dipak Ranjan Behera,20-Nov-2025 04:06 PM,technical_561239.pdf,1,3231327,Abhimanyu Das,17-Nov-2025 11:59 AM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,21-May-2026,"INR 28,560,869.33",445.0,Dipak Ranjan Behera,21-May-2026 01:43 PM,WOmahulajhor.pdf (725.00 KB),awarded,Dipak ranjan behera ACE DC BALASORE,Internal,PRIYABRATA BEHERA SE DD BHADRAK SABUJ PODDER DAO DD BHADRAK ESTIMATOR DD BHADARK,Dipak Ranjan Behera,02-Feb-2026 04:08 PM,finsummary_561239.pdf (722.92 KB),AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3230054,ABHISHEK DAS,16-Nov-2025 07:58 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3232911,ABINASH BOSE,17-Nov-2025 04:31 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3224249,Abinash Parhi,15-Nov-2025 12:24 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3231638,Ajaya Kumar Lenka,17-Nov-2025 12:56 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3220798,Amitav Mohanty,13-Nov-2025 12:35 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3228990,AMIYA RANJAN BEHERA,16-Nov-2025 11:59 AM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3228475,ANIL KUMAR SWAIN,15-Nov-2025 09:26 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3230280,ANURAG BEHERA,16-Nov-2025 09:25 PM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3211514,ASISH KUMAR SWAIN,11-Nov-2025 11:05 AM,Rejected-Finance,defeated in transparent lottery,02-Feb-2026 04:08 PM,,,,,,,,,,,,,,AOC
