S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3450570.0,AQUA SERVICES,INR,"3,841,534",City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,26-May-2026 12:29 PM,finsummary_586199.pdf (574.51 KB),Technical,4 bids opened successfully,Lipsa Parida,18-Apr-2026 11:12 AM,technical_586199.pdf,Municipal Bodies||Bhubaneswar Municipal Corporation,2026_ORULB_127563_1,BMC-EE-Tender Cell-88/2025-26 dt. 24.03.2026,"Annual maintenance, Desilting of Strom Water R and B drains in BMC area for ensuring Monsoon 2026 under PWD Division -1 (Reach -II)",Finance,3 bids opened successfully,Lipsa Parida,22-Apr-2026 04:50 PM,finance_586199.pdf,BOQ Comparative Chart,City Engineer,Internal,"EETENDERCELL,EEDRAINAGE,DYCOMMISSIONERLEGAL,CFO,CITYENGINEER",Lipsa Parida,22-Apr-2026 03:29 PM,22-Apr-2026 04:30 PM,techsummary_586199.pdf (156.67 KB),26-May-2026,"INR 3,841,534",365.0,Lipsa Parida,26-May-2026 12:32 PM,wo_43_26_sl1.pdf (1568.00 KB),1,3450570,AQUA SERVICES,17-Apr-2026 09:20 AM,Accepted-AOC,1st lowest,26-May-2026 12:32 PM,AOC,1.0,ICICI BANK,"54,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all documents,"Annual maintenance, Desilting of Strom Water R and B drains in BMC area for ensuring Monsoon 2026 under PWD Division -1 (Reach -II)","Annual maintenance, Desilting of Strom Water R and B drains in BMC area for ensuring Monsoon 2026 under PWD Division -1 (Reach -II)",Please refer Tender documents. ,NA ,"54,55,902",Civil Works - Others,NA ,Tender,120.0,365.0,BMC AREA,751022.0,"Office chamber of the EE,Central Tender Cell ","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar ",07-Apr-2026 03:30 PM ,"Central Tender Cell,BMC",No ,No,30-Mar-2026 10:30 AM,18-Apr-2026 11:00 AM,30-Mar-2026 10:30 AM,17-Apr-2026 05:00 PM,30-Mar-2026 10:30 AM ,07-Apr-2026 01:00 PM ,30-Mar-2026 10:30 AM,17-Apr-2026 05:00 PM,22-Apr-2026 04:30 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-88/2025-26 dt. 24.03.2026,2026_ORULB_127563_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum-2,Other,,"10,000",0.0,Nil,Nil,No,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3456564,M/S OMM SAI ASSOCIATES,17-Apr-2026 01:47 PM,Rejected-Finance,other than 1st lowest,26-May-2026 12:29 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3455914,PRAKASH CHANDRA PANDA,17-Apr-2026 11:53 AM,Rejected-Finance,other than 1st lowest,26-May-2026 12:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3456687,SUKANT KUMAR MOHANTY,17-Apr-2026 04:21 PM,Rejected-Technical,Technically not qualified,22-Apr-2026 03:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
