S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-IIINo.17/25-26,2025_ORULB_116784_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer,Div-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012",09-Oct-2025 12:30 PM,28-Oct-2025 10:00 AM,09-Oct-2025 12:30 PM,23-Oct-2025 05:00 PM,NA ,NA ,09-Oct-2025 12:30 PM,23-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.",Construction of CC road from Maa Hadabai temple premises to Puri main canal in Ward No.58.,Construction of CC road from Maa Hadabai temple premises to Puri main canal in Ward No.58.,Please refer Tender documents. ,NA ,"23,89,052",Civil Works - Others,NA ,Tender,105.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,"23,900",Yes,fixed,,Nil,Nil,1.0,1ST Corrigendum Notice,Date,,"7,080",0.0,Nil,Nil,No,AOC,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,28-May-2026 01:19 PM,finsummary_555104.pdf (426.17 KB),Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,28-May-2026 12:54 PM,techsummary_555104.pdf (426.17 KB),Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_116784_23,MC(CMC)CTC_Div-IIINo.17/25-26,Construction of CC road from Maa Hadabai temple premises to Puri main canal in Ward No.58.,1.0,3134348.0,Saroj Kumar Mallick,INR,"2,030,936",1,3146176,ASIS PARIDA,23-Oct-2025 04:31 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,28-May-2026,"INR 2,030,936",90.0,Sanjukta Sa,28-May-2026 02:00 PM,chat.pdf (426.00 KB),wo,Finance,Sixteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,06-Nov-2025 04:32 PM,finance_555104.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3145601,MD AZHAR,23-Oct-2025 03:14 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3145863,"M/S JENA AGENCY, PROP-BIJAY KUMAR JENA",23-Oct-2025 03:15 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3144631,NIHAR RANJAN MISHRA,23-Oct-2025 01:49 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3126967,NIRUPAMA BEHERA,13-Oct-2025 10:16 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3134739,Sangram keshori Ray,18-Oct-2025 03:34 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3134348,Saroj Kumar Mallick,18-Oct-2025 01:32 PM,Accepted-AOC,Accepted,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3135357,SIBENDRA BEHERA,19-Oct-2025 11:52 AM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3130147,SIDHARTHA SANKAR BISWAL,20-Oct-2025 11:25 AM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3144051,SOUMYARANJAN LENKA,22-Oct-2025 08:27 PM,Rejected-AOC,Rejected,28-May-2026 02:00 PM,,,,,,,,,,,,,,AOC
