S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,3372448.0,BIBEKANANDA SITHA,INR,"1,714,805.23",Finance,opened,Mausumi Mishra,31-Jan-2026 11:42 AM,,BOQ Comparative Chart,"S.E RW Division, Nimapara",Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Rasmita Sahoo,03-Mar-2026 10:25 AM,finsummary_577367.pdf (753.45 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,2026_CERWI_124966_4,Tender Online Divn.NPR-14/2025-26,Periodical Maintenance of RD road to Kurujanga Road for the year 2025-26,"S.E RW Division, Nimapara",Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Mausumi Mishra,07-Feb-2026 06:03 PM,techsummary_577367.pdf (753.10 KB),1,3372448,BIBEKANANDA SITHA,29-Jan-2026 03:52 PM,Accepted-AOC,Work has been awarded,14-May-2026 07:07 PM,05-Mar-2026,"INR 1,714,805.23",90.0,Mausumi Mishra,14-May-2026 07:07 PM,Kuruj.pdf (729.00 KB),AOC,22-Jan-2026 11:30 AM,30-Jan-2026 11:00 AM,22-Jan-2026 11:30 AM,29-Jan-2026 05:00 PM,22-Jan-2026 11:30 AM ,29-Jan-2026 01:00 PM ,22-Jan-2026 11:30 AM,29-Jan-2026 05:00 PM,Periodical Maintenance of RD road to Kurujanga Road for the year 2025-26,Road Work,Please refer Tender documents. ,NA ,"18,61,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Nimapara,752106.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, R.W.D, NIMAPARA",No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,Tender Online Divn.NPR-14/2025-26,2026_CERWI_124966_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"SUPERINTENDING ENGINEER, R.W DIVISION, NIMAPARA","O/O THE SUPERINTENDING ENGINEER, R.W.D, NIMAPARA",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","18,610",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3370777,BIJAY KUMAR KHATOI,28-Jan-2026 04:45 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 10:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3372574,MALAYA RANJAN DAS,29-Jan-2026 04:48 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 10:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3372548,SANKAR PARIDA,29-Jan-2026 04:08 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 10:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3371166,SUDHANSU KUMAR BISWAL,28-Jan-2026 08:44 PM,Rejected-Finance,Not Selected in lottery system,03-Mar-2026 10:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
