Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO (T)- KJR-05/2025-26,2026_DFOKJ_125883_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,12-Feb-2026 10:00 AM,21-Feb-2026 10:00 AM,12-Feb-2026 10:00 AM,20-Feb-2026 05:00 PM,12-Feb-2026 10:00 AM ,20-Feb-2026 05:00 PM ,12-Feb-2026 10:00 AM,20-Feb-2026 05:00 PM,"6,000",Nil,Nil,No,Construction of RCC Check Dam at Handibhanga inside Jadipada RF of Keonjhar Range under OMBADC (DPR 2023-24),Construction of RCC Check Dam at Handibhanga inside Jadipada RF of Keonjhar Range under OMBADC (DPR 2023-24),Please refer Tender documents. ,NA ,"16,61,388",Civil Works - Water Works,NA ,Tender,90.0,30.0,Jadipada RF Keonjhar,758001.0,NA ,NA ,NA ,Keonjhar,No ,No,"16,700",Yes,fixed,,Nil,Nil,1,ICICI BANK,"Divisional Forest Officer, Keonjhar Division","Office of the Divisional Forest Officer, Po-dist-Keonjhar-758001",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST, PAN, Payment details and Other documents as per DTCN",AOC,"Dhanraj HD, IFS",Internal,"Jyotirmaya suar, Jr Asst, Narayan Panda, Head Clerk, Ashok Ku Das, ACF, sudipta Panda, ACF",Dhanraj Hanumant Dhamdhere,01-May-2026 12:09 PM,finsummary_580931.pdf (204.31 KB),"Dhanraj HD, IFS",Internal,"Jyotirmaya suar, Jr Asst, Narayan Panda, Head Clerk, Ashok Ku Das, ACF, sudipta Panda, ACF",Dhanraj Hanumant Dhamdhere,01-May-2026 12:07 PM,techsummary_580931.pdf (243.68 KB),1.0,3405624.0,ANIL NAIK,INR,"1,666,373",Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2026_DFOKJ_125883_18,FEnCC-DFO (T)- KJR-05/2025-26,Construction of RCC Check Dam at Handibhanga inside Jadipada RF of Keonjhar Range under OMBADC (DPR 2023-24),1,3405624,ANIL NAIK,20-Feb-2026 02:50 PM,Accepted-AOC,accepted,01-May-2026 12:12 PM,01-May-2026,"INR 1,666,373",30.0,Dhanraj Hanumant Dhamdhere,01-May-2026 12:12 PM,17WO.pdf (303.00 KB),Work Order Issue to L1 Bidder selected through lottery,Finance,Bid Opening Summary,Dhanraj Hanumant Dhamdhere,21-Feb-2026 05:19 PM,finance_580931.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,3400516,BISHNUPRASAD JENA,17-Feb-2026 01:46 PM,Rejected-AOC,rejected,01-May-2026 12:12 PM,,,,,,,,,,,,,,AOC
