Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Municipal Bodies||Soro Municipality,2026_ORULB_125887_15,SOROM_07_2025-26,Construction of Drain and Culvert from Mohan Mohanty house to Santosh Mohanty at Raipur in Ward No.-04,1.0,3409260.0,SANTOSH PARIDA,INR,"423,728.63",1,3409284,MAHIRANJAN DHADA,25-Feb-2026 04:22 PM,Rejected-Finance,L2,29-May-2026 12:47 PM,29-May-2026,"INR 423,728.63",90.0,Biswo Ranjan Pradhan,29-May-2026 12:51 PM,W15.pdf (617.00 KB),Finance,2 bidders MAHIRANJAN DHADA L2 and SANTOSH PARIDA L1 have participated. Hence SANTOSH PARIDA can be accepted as 1st lowest bidder.,Sanjaya Kumar Sena,06-Mar-2026 12:54 PM,,BOQ Comparative Chart,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,29-May-2026 12:47 PM,finsummary_581104.pdf (391.19 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,22-May-2026 10:03 AM,techsummary_581104.pdf (391.19 KB),AOC,"Executive Officer, soro Municipality","Executive Officer, soro Municipality",1,ICICI BANK,1.0,correction in DTCN,Other,,"4,237",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Soro Municipality,SOROM_07_2025-26,2026_ORULB_125887_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Drain and Culvert from Mohan Mohanty house to Santosh Mohanty at Raipur in Ward No.-04,Construction Work,Please refer to the tender document ,NA ,"4,23,729",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN Card, Valid registration certificate, Affidavits and as per DTCN",18-Feb-2026 10:00 AM,26-Feb-2026 10:00 AM,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,NA ,NA ,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,AOC
,,,,,,,,,2,3409260,SANTOSH PARIDA,25-Feb-2026 07:26 AM,Accepted-AOC,Work order,29-May-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
