Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-IINo.30/2025-26,2025_ORULB_123539_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,720",0.0,Nil,Nil,No,"5,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,VAT,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.",05-Feb-2026 11:30 AM,18-Feb-2026 10:00 AM,05-Feb-2026 11:30 AM,13-Feb-2026 05:00 PM,NA ,NA ,05-Feb-2026 11:30 AM,13-Feb-2026 05:00 PM,1,ICICI BANK,"Executive Engineer, CD-II","Bikash Bhawan,Jagannath Lane,Badambadi-753012",Construction of Road from Prafulla Jena house to jagannath Temple at Nua Sahi in ward no.41.,Construction of Road from Prafulla Jena house to jagannath Temple at Nua Sahi in ward no.41.,Please refer Tender documents. ,NA ,"5,74,028",Civil Works - Others,NA ,Tender,60.0,30.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,AOC,1,3395120,HRUSHIKESH SAHOO,13-Feb-2026 03:52 PM,Rejected-AOC,Rejected,23-May-2026 03:47 PM,23-May-2026,"INR 574,028",30.0,Sanjukta Sa,23-May-2026 03:47 PM,164.pdf (56.00 KB),wo,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,23-May-2026 03:28 PM,techsummary_579451.pdf (74.88 KB),Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_123539_4,MC(CMC)CTC_Div-IINo.30/2025-26,Construction of Road from Prafulla Jena house to jagannath Temple at Nua Sahi in ward no.41.,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,23-May-2026 03:45 PM,finsummary_579451.pdf (74.88 KB),Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Bharat Kumar Sethi,18-Feb-2026 04:27 PM,finance_579451.pdf,BOQ Comparative Chart,1.0,3395136.0,SUBRAT KUMAR NAYAK,INR,"574,028",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2,3395136,SUBRAT KUMAR NAYAK,13-Feb-2026 03:58 PM,Accepted-AOC,Accepted,23-May-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
