S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3033697.0,ACHARYA BROTHERS CONSTRUCTION PVT LTD,INR,"429,546,543",Technical,Opening,Priyabrata Samantara,06-Sep-2025 12:52 PM,,EIC-CIVIL,2025_EICCL_116272_1,C.E. (B) - 19 /2025-26,"CONSTRUCTION OF 60 SEATED EXECUTIVE HOSTEL IN GOPABANDHU ACADEMY OF ADMINISTRATION, BHUBANESWAR ON TURNKEY BASIS.",Sri S K Singh Principal Secretary to Govt Works Dept Odisha,Internal,Sri S Behera EIC Civil cum Roads Odisha Sri P Samantara CE Buildings I Sri H K Panda CE Buildings II Sri L Tudu Joint Secy Finance Dept Sri A Mohanty Joint Secy Law Dept Sr R Mahapatra FAcumSpecial,Ashok Kumar Lenka,09-Jan-2026 05:49 PM,finsummary_547875.pdf (368.09 KB),"Er Satyabrata Behera EIC (Civil-cum-Roads), Odisha",Internal,CE Building I and II CGM OBCC CCE Central R and B Circle BBSR Addl CE Buildings I Odisha Dy Chief Architect Level I Odisha Dy Director General Gopabandhu Academy Finance Officer,Smita Sahoo,13-Nov-2025 05:48 PM,13-Nov-2025 06:00 PM,techsummary_547875.pdf (777.34 KB),Finance,Opening,Priyabrata Samantara,13-Nov-2025 06:15 PM,,BOQ Comparative Chart,18-May-2026,"INR 429,546,543",730.0,Priyabrata Samantara,18-May-2026 04:56 PM,AOC_Gopabandhu.pdf (418.00 KB),AOC,1,3033697,ACHARYA BROTHERS CONSTRUCTION PVT LTD,26-Aug-2025 04:14 PM,Accepted-AOC,L1,18-May-2026 04:56 PM,AOC,"10,000",0.0,Nil,Nil,No,"CONSTRUCTION OF 60 SEATED EXECUTIVE HOSTEL IN GOPABANDHU ACADEMY OF ADMINISTRATION, BHUBANESWAR ON TURNKEY BASIS.","CONSTRUCTION OF 60 SEATED EXECUTIVE HOSTEL IN GOPABANDHU ACADEMY OF ADMINISTRATION, BHUBANESWAR ON TURNKEY BASIS.",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,180.0,730.0,BHUBANESWAR,751013.0,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar. ","O/o. the E.I.C. (Civil), Odisha, Bhubaneswar. ",05-Aug-2025 11:30 AM ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,1.0,1ST CORRIGENDUM,Date,,1.0,ICICI BANK,"Chief Engineer (Buildings-I), Odisha, Bhubaneswar.","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.","50,53,000",Yes,fixed,,Nil,Nil,30-Jul-2025 06:00 PM,06-Sep-2025 11:30 AM,30-Jul-2025 06:00 PM,26-Aug-2025 05:30 PM,NA ,NA ,30-Jul-2025 06:00 PM,26-Aug-2025 05:30 PM,13-Nov-2025 06:00 PM,EIC-CIVIL,C.E. (B) - 19 /2025-26,2025_EICCL_116272_1,Yes,National Competitive Bid,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid as indicated as Section-1 of RFP.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3049458,ANAYA INFRACON PRIVATE LIMITED,26-Aug-2025 12:57 PM,Rejected-Finance,L5,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security and cost of Bid documents online mode.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3028197,DILLIP CONSTRUCTIONS PRIVATE LIMITED,26-Aug-2025 01:36 PM,Rejected-Finance,L2,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification Information and supporting documents as per Section-1 of RFP.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3045771,DIVERSIFIED ENERGY SOLUTIONS PRIVATE LIMITED,26-Aug-2025 04:29 PM,Rejected-Finance,L4,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates Undertakings, Affidavit as per Section-2 of RFP.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3029407,MACKINTOSH BURN LIMITED,25-Aug-2025 06:13 PM,Rejected-Finance,L3,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scope of Work as Section 8 of RFP.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3044552,M/S DIVINE CONSTRUCTIONS,26-Aug-2025 12:50 PM,Rejected-Finance,L2,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others Document as per RFP.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3048827,SAT INDER CONSTRUCTIONS PVT LTD,26-Aug-2025 01:55 PM,Rejected-Finance,L2,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Quoted Lumpsum Price BoQ with Bidder Name,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3046252,Shree Balaji Engicons Limited,26-Aug-2025 04:41 PM,Rejected-Finance,L6,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3029009,SUNIL KUMAR AGRAWAL LLP,26-Aug-2025 02:33 PM,Rejected-Finance,L2,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3023583,UMSL Limited,22-Aug-2025 04:10 PM,Rejected-Finance,L2,09-Jan-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
