Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Upgradation of old W.T.P (3MLD), intake well with mechanical arrangement under WATCO section, Rairangpur in Mayurbhanj District","Upgradation of old W.T.P (3MLD), intake well with mechanical arrangement under WATCO section, Rairangpur in Mayurbhanj District",Please refer Tender documents. ,NA ,"2,22,32,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,"Rairangpur, Mayurbhanj",757043.0,NA ,NA ,NA ,Bhubaneswar,No ,No,WATCO Bhubaneswar,WATCO (W)-26(02)/2025-26 Dtd.25.11.2025,2025_WATCO_122511_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",1.0,ICICI BANK,"2,22,000",Yes,fixed,,Nil,Nil,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444","11,800",Nil,Nil,No,05-Dec-2025 05:00 PM,23-Dec-2025 12:30 PM,05-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,05-Dec-2025 05:00 PM ,10-Dec-2025 05:00 PM ,05-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,23-Feb-2026 11:30 AM,AOC,Managing Director,Internal,,JAYALAXMI BISWAL,21-May-2026 12:11 PM,finsummary_569141.pdf (456.18 KB),Technical,Three no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,23-Dec-2025 01:34 PM,,WATCO Bhubaneswar,2025_WATCO_122511_1,WATCO (W)-26(02)/2025-26 Dtd.25.11.2025,"Upgradation of old W.T.P (3MLD), intake well with mechanical arrangement under WATCO section, Rairangpur in Mayurbhanj District",1.0,3319116.0,TECHNO TRADING CORPORATION,INR,"18,899,525",21-May-2026,"INR 18,899,525",365.0,JAYALAXMI BISWAL,21-May-2026 12:16 PM,AOC.pdf (377.00 KB),1,3313822,ADITYA ENGINEERING SERVICES,20-Dec-2025 01:08 PM,Rejected-AOC,Not a lowest bidder,21-May-2026 12:16 PM,Finance,Three no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,23-Feb-2026 01:28 PM,,BOQ Comparative Chart,Managing Director,Internal,,JAYALAXMI BISWAL,21-Feb-2026 01:28 PM,23-Feb-2026 11:30 AM,techsummary_569141.pdf (4875.78 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3284698,Pooja Construction Co.,19-Dec-2025 12:10 PM,Rejected-AOC,Not a lowest bidder,21-May-2026 12:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3319116,TECHNO TRADING CORPORATION,20-Dec-2025 03:46 PM,Accepted-AOC,Lowest bidder,21-May-2026 12:16 PM,,,,,,,,,,,,,,AOC
