Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,5 bidders have participated.,Nirmal Kumar Parida,18-Feb-2026 01:06 PM,,BOQ Comparative Chart,1.0,3295274.0,JADU SINGH,INR,"2,687,715.43",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balasore||SORO Block,2025_PRBSR_122509_1,BDOSORO-01/2025,"Construction of Block Office Building, Soro",BDO BFO AEE SO CP Cashier Dev Clerk,Internal,BDO BFO AEE SO CP Cashier Dev Clerk,Nirmal Kumar Parida,18-Feb-2026 08:52 PM,finsummary_569137.pdf (490.01 KB),BDO BFO AEE SO CP Cashier Dev Clerk,Internal,BDO BFO AEE SO CP Cashier Dev Clerk,Nirmal Kumar Parida,18-Feb-2026 08:22 PM,techsummary_569137.pdf (4032.31 KB),18-Feb-2026,"INR 2,687,715.43",180.0,Nirmal Kumar Parida,28-May-2026 03:27 PM,Tender.pdf (2653.00 KB),1,3291693,BASUDEV NAYAK,11-Dec-2025 02:35 PM,Rejected-Finance,He is L2 bidder in lottery process,18-Feb-2026 08:52 PM,AOC,"Construction of Block Office Building, Soro",Construction Work,Please refer to the tender document ,NA ,"31,61,646",Civil Works - Others,NA ,Tender,30.0,180.0,"Soro Block, Soro",756045.0,NA ,NA ,NA ,"Office of the Panchayat Samiti, Soro",No ,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balasore||SORO Block,BDOSORO-01/2025,2025_PRBSR_122509_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"40,000",No,fixed,,Nil,Nil,"BDO, Soro Block","Office of the Panchayat Samiti, Soro","6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN Card, GST, Valid Registration Certificate, Affidavits and as per DTCN",04-Dec-2025 10:00 AM,12-Dec-2025 10:30 AM,04-Dec-2025 10:00 AM,11-Dec-2025 05:00 PM,NA ,NA ,04-Dec-2025 10:00 AM,11-Dec-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3295274,JADU SINGH,11-Dec-2025 03:10 PM,Accepted-AOC,Agreement Completed,28-May-2026 03:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3293776,MALATI NAYAK,11-Dec-2025 02:25 PM,Rejected-Finance,He is L4 bidder in lottery process,18-Feb-2026 08:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3292752,M/s Maa Subarnmukhi Engineering,11-Dec-2025 01:45 PM,Rejected-Finance,He is L3 bidder in lottery process,18-Feb-2026 08:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3294288,SAMEER KUMAR SARANGI,11-Dec-2025 01:35 PM,Rejected-Finance,He is L5 bidder in lottery process,18-Feb-2026 08:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
