Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||AUL Embankment Div AUL,e-Procurement Notice No.AED-14 OF 2025-26,2025_AULE_119654_40,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN.",AUL 44 Protection to Scoured bank of Bagapatia Saline Embankment from RD 2.100 KM to 2.166 KM,Protection to Scoured bank of Bagapatia Saline Embankment from RD 2.100 KM to 2.166 KM,Please refer Tender documents. ,NA ,"83,84,165",Civil Works - Others,NA ,Tender,90.0,180.0,AUL,754219.0,NA ,NA ,NA ,"S.E, Aul Embkt. Division, Aul",No ,No,1.0,ICICI BANK,18-Oct-2025 10:00 AM,28-Oct-2025 11:00 AM,18-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,18-Oct-2025 10:00 AM ,24-Oct-2025 05:00 PM ,18-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,13-Nov-2025 06:00 PM,"S.E, Aul Embkt. Division, Aul","S.E, Aul Embankment Division, Aul-754219","83,900",Yes,fixed,,Nil,Nil,"10,000",Nil,Nil,No,AOC,20-May-2026,"INR 7,127,379",180.0,Sambit Kumar Sahoo,20-May-2026 06:16 PM,44.pdf (1349.00 KB),"L1 bid of Sri AJAY KUMAR SETHI selected through transparent lottery system accepted by the S.E., Aul Embankment Division for award of contract.",1,3158293,ABINASH MALLIK,27-Oct-2025 12:52 PM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,Finance,BOQ of All bidders download successfully,Kshirod Kumar Mohapatra,14-Nov-2025 06:53 PM,,BOQ Comparative Chart,"S.E, Aul Embakment Division, Aul",Internal,"DAO Aul Embakment Division, Aul, AEE (Estimator), Aul Embakment Division, Aul",Sambit Kumar Sahoo,13-Nov-2025 05:54 PM,13-Nov-2025 06:00 PM,techsummary_556724.pdf (165.02 KB),AUL Embankment Div AUL,Internal,AUL Embankment Div AUL,Sambit Kumar Sahoo,14-Dec-2025 06:46 PM,finsummary_556724.pdf (264.71 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||AUL Embankment Div AUL,2025_AULE_119654_40,e-Procurement Notice No.AED-14 OF 2025-26,AUL 44 Protection to Scoured bank of Bagapatia Saline Embankment from RD 2.100 KM to 2.166 KM,Technical,78 Nos Bidders Participated,Kshirod Kumar Mohapatra,04-Nov-2025 06:29 PM,,1.0,3150201.0,AJAY KUMAR SETHI,INR,"7,127,379",AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3158918,ACHINA DAS,27-Oct-2025 01:35 PM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3157772,AHALYA SETHI,27-Oct-2025 11:41 AM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3150201,AJAY KUMAR SETHI,25-Oct-2025 06:53 AM,Accepted-AOC,"L1 bid of Sri AJAY KUMAR SETHI selected through transparent lottery system accepted by the S.E., Aul Embankment Division for award of contract.",20-May-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3158913,ALEKHA PRASAD NATH,27-Oct-2025 02:56 PM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3160231,AN CONSTRUCTIONS,27-Oct-2025 04:33 PM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3145241,ANIL KUMAR SWAIN,23-Oct-2025 02:34 PM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3157125,APARUPA NANDA BARIK,27-Oct-2025 10:49 AM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3156406,ARABIND BEHERA,27-Oct-2025 11:31 AM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3156949,Ashwini Kumar Nayak,27-Oct-2025 02:50 AM,Rejected-Finance,Not won in the transparent Lottery,14-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
