EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"4,02,260",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC,EMD, Tender Paper Cost, PAN, GSTIN, Affidavit regarding correctness, No relation certificate","10,000",0.0,Nil,Nil,No,03-Jan-2025 06:30 PM,19-Jan-2025 11:00 AM,03-Jan-2025 06:30 PM,18-Jan-2025 05:00 PM,03-Jan-2025 06:30 PM ,17-Jan-2025 05:00 PM ,03-Jan-2025 06:30 PM,18-Jan-2025 05:00 PM,30-May-2025 11:00 AM,Chief Construction Engineer,"O/o the CCE RW Circle, Bhawanipatna","Construction of PWD Road to (Gungunia) to Kandabutra via Rengalpalli, Butrapada, Amjore Road under MMSY- Transferred Road Improvement Programme (MMSY-TRIP) in the district of Kalahandi for the year 2024-25","Construction of PWD Road to (Gungunia) to Kandabutra via Rengalpalli, Butrapada, Amjore Road under MMSY- Transferred Road Improvement Programme (MMSY-TRIP) in the district of Kalahandi for the year 2024-25",Please refer Tender documents. ,NA ,"4,02,26,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Dharmagarh/Kalahandi,766001.0,NA ,NA ,NA ,"O/o the CCE RW Circle, Bhawanipatna",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHAWANIPATNA,BPT/Online-09/2024-25,2025_CERWI_109019_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Arjuna Behera,Internal,,Pradeep Kisan,17-Oct-2025 08:53 PM,finsummary_523599.pdf (229.79 KB),Technical,42nos. bidders are participated,Pradeep Kisan,23-Jan-2025 06:23 PM,,CE RW I||RWCIRCLE-BHAWANIPATNA,2025_CERWI_109019_9,BPT/Online-09/2024-25,"Construction of PWD Road to (Gungunia) to Kandabutra via Rengalpalli, Butrapada, Amjore Road under MMSY- Transferred Road Improvement Programme (MMSY-TRIP) in the district of Kalahandi for the year 2024-25",1.0,2750764.0,M/S S R CONSTRUCTIONS,INR,"34,196,472",25-May-2026,"INR 34,196,472",270.0,Arjuna Behera,25-May-2026 02:07 PM,25052026.pdf (1391.00 KB),1,2761544,Ajit Pattnaik,18-Jan-2025 12:39 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,Finance,price bid opened,Ajit Kumar Singh,08-Oct-2025 01:20 PM,,BOQ Comparative Chart,Biswajit Rayaguru,Internal,,Pradeep Kisan,22-May-2025 06:40 PM,30-May-2025 11:00 AM,techsummary_523599.pdf (1380.36 KB),AOC
,,,,,,,,.pdf,"ATO, Similar Nature of Work, Work hand,Work experience, machinarie and other document as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2761688,Ankit Kumar Agrawal,18-Jan-2025 02:42 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2761806,Arati Infratech Pvt Ltd,18-Jan-2025 10:23 AM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2762563,BASANT AGRAWAL,18-Jan-2025 04:30 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2761702,Bharat Bhusan Panda,18-Jan-2025 11:22 AM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2749506,BIKRAM KUMAR GUPTA,17-Jan-2025 08:11 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2762747,DEBENDRA KUMAR NAYAK,18-Jan-2025 01:42 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2762730,Dhiraj Kumar Agrawal,18-Jan-2025 04:27 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2758908,ER. MOHIT KUMAR JAIN,17-Jan-2025 06:45 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2761046,GAUTAM KUMAR AGRAWAL,18-Jan-2025 01:43 PM,Rejected-Finance,Not selected in lottery,17-Oct-2025 08:53 PM,,,,,,,,,,,,,,AOC
