Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
06-May-2026,"INR 2,097,909",90.0,Ramesh Chandra Nayak,06-May-2026 12:03 PM,wo37.pdf (262.00 KB),Contact value including GST,1.0,3378923.0,SURAJ PRASAD PROP SAANVI CONSTRUCTION,INR,"2,097,909",Municipal Bodies||Barbil Municipality,2026_ORULB_124590_37,BBLM-6/2025-26,"Repair of bye lane in Ward No.2, Barbil",1,3379024,SUDIP KUMAR SAMAL,03-Feb-2026 02:13 PM,Rejected-Finance,Second,06-May-2026 12:00 PM,Technical,open,Ramesh Chandra Nayak,06-Feb-2026 05:18 PM,technical_576179.pdf,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,06-May-2026 12:00 PM,finsummary_576179.pdf (485.00 KB),Finance,open,Ramesh Chandra Nayak,13-Mar-2026 05:14 PM,finance_576179.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,08-Mar-2026 12:58 PM,09-Mar-2026 09:00 AM,techsummary_576179.pdf (1095.53 KB),AOC,1,Fee/PreQual/Technical,.pdf,Tender Notice,"20,000",Yes,percentage,1.0%,Nil,Nil,20-Jan-2026 10:00 AM,04-Feb-2026 11:00 AM,20-Jan-2026 10:00 AM,03-Feb-2026 05:00 PM,NA ,NA ,20-Jan-2026 10:00 AM,03-Feb-2026 05:00 PM,09-Mar-2026 09:00 AM,"Repair of bye lane in Ward No.2, Barbil","Repair of bye lane in Ward No.2, Barbil",Please refer Tender documents. ,NA ,"20,00,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Barbil Municipality,BBLM-6/2025-26,2026_ORULB_124590_37,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,AOC
,,,,,,,,,,,,,,,,2,3378923,SURAJ PRASAD PROP SAANVI CONSTRUCTION,03-Feb-2026 02:06 PM,Accepted-AOC,Lowest,06-May-2026 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
